population,track,stereo_run,seam
clean,bellarayneband2026-08-13.ca-14.flac__01-Hard To Handle.flac,3.75,0.378
clean,bellarayneband2026-08-13.ca-14.flac__02-Stand Back.flac,2.84,0.479
clean,bellarayneband2026-08-13.ca-14.flac__03-They Love Each Other.flac,1.55,0.495
clean,bt2026-08-11__01 Stand.flac,nan,0.335
clean,bt2026-08-11__02 Run-Around.flac,nan,0.398
clean,bt2026-08-11__03 Dropping Some NYC.flac,nan,0.255
clean,bt2026-08-11__04 Keyboard Solo.flac,nan,0.315
clean,calexico2006-07-10__Calexico_2006-07-10t01.flac,1.00,0.655
clean,calexico2006-07-10__Calexico_2006-07-10t02.flac,1.00,0.599
clean,calexico2008-11-17__Calexico_2008-11-17t01.flac,1.00,0.419
clean,calexico2008-11-17__Calexico_2008-11-17t02.flac,1.00,0.409
clean,calexico2010-02-18__Calexico_2010-02-18t01.flac,0.00,0.195
clean,calexico2010-02-18__Calexico_2010-02-18t02.flac,1.00,0.383
clean,calexico2016-07-17__Calexico_2016-07-17t01.flac,1.00,0.317
clean,calexico2016-07-17__Calexico_2016-07-17t02.flac,1.00,0.271
clean,calexico2023-11-02__Calexico_2023-11-02t01.flac,0.00,0.169
clean,calexico2023-11-02__Calexico_2023-11-02t02.flac,1.00,0.410
clean,crisjacobs2026-06-13__cris2026-06-13d01t01.flac,1.47,0.273
clean,crisjacobs2026-06-13__cris2026-06-13d01t02.flac,1.27,0.226
clean,dknowles2009-07-02.BSC1-K3.setboy.flac1644__backdoorslam2009-07-02d1t01.flac,1.00,0.554
clean,dknowles2009-07-02.BSC1-K3.setboy.flac1644__backdoorslam2009-07-02d1t02.flac,1.56,0.431
clean,dknowles2009-07-02.BSC1-K3.setboy.flac1644__backdoorslam2009-07-02d1t03.flac,1.19,0.381
clean,dknowles2009-07-02.BSC1-K3.setboy.flac1644__backdoorslam2009-07-02d1t04.flac,1.28,0.404
clean,dknowles2015-11-11.ZoomH5.Toddjun.flac16__01-Intro.flac,1.00,0.132
clean,dknowles2015-11-11.ZoomH5.Toddjun.flac16__02-Ain't Much of Nothin'.flac,1.00,0.390
clean,dknowles2015-11-12.ZoomH5.Toddjun.flac16__01-Intro.flac,1.17,0.109
clean,dknowles2015-11-12.ZoomH5.Toddjun.flac16__02-Catch the Moon.flac,1.19,0.360
clean,dknowles2016-01-13.mk-4.edtyre.flac16__davyknowles2016-01-13.mk4.edtyre.t01.flac,1.00,0.281
clean,dknowles2016-01-13.mk-4.edtyre.flac16__davyknowles2016-01-13.mk4.edtyre.t02.flac,1.00,0.296
clean,dknowles2016-01-13.mk-4.edtyre.flac16__davyknowles2016-01-13.mk4.edtyre.t03.flac,1.00,0.183
clean,dknowles2016-01-13.mk-4.edtyre.flac16__davyknowles2016-01-13.mk4.edtyre.t04.flac,1.05,0.342
clean,dknowles2017-07-29.ZoomH5.Toddjun.flac1644__01-Intro.flac,1.00,0.365
clean,dknowles2017-07-29.ZoomH5.Toddjun.flac1644__02-Catch the Moon.flac,1.06,0.726
clean,dknowles2018-02-11.CCM4V.Z-Man.flac16__davy2018-02-11d01t01.flac,1.75,0.334
clean,dknowles2018-02-11.CCM4V.Z-Man.flac16__davy2018-02-11d01t02.flac,1.38,0.369
clean,dknowles2021-10-16.SP-CMC-8c.Farve4.flac1644__101 Aint Much of Nothin.flac,1.00,0.529
clean,dknowles2021-10-16.SP-CMC-8c.Farve4.flac1644__102 Riverbed.flac,1.00,0.588
clean,dknowles2021-10-20.mk41.dude.flac16__davyknowles2021-10-20.mk41.dude.t01.flac,1.00,0.136
clean,dknowles2021-10-20.mk41.dude.flac16__davyknowles2021-10-20.mk41.dude.t02.flac,1.08,0.355
clean,dknowles2022-07-21.mk41v.edtyre.flac16__davyknowles2022-07-21.mk41v.edtyre.t01.flac,1.00,0.467
clean,dknowles2022-07-21.mk41v.edtyre.flac16__davyknowles2022-07-21.mk41v.edtyre.t02.flac,1.00,0.344
clean,dknowles2024-11-13.mk41v.edtyre.flac16__davyknowles2024-11-13.mk41v.edtyre.t01.flac,1.17,0.149
clean,dknowles2024-11-13.mk41v.edtyre.flac16__davyknowles2024-11-13.mk41v.edtyre.t02.flac,0.00,0.424
clean,ginblossoms2026-08-11__01 Follow You Down.flac,nan,0.471
clean,ginblossoms2026-08-11__02 Hold Me Down.flac,nan,0.471
clean,ginblossoms2026-08-11__03 Learning The Hard Way.flac,nan,0.344
clean,ginblossoms2026-08-11__04 Mrs_ Rita.flac,nan,0.476
clean,jcommon2008-11-09.flac16__jcommon2008-11-09t01.flac,1.00,0.573
clean,jcommon2008-11-09.flac16__jcommon2008-11-09t02.flac,1.00,0.355
clean,jcommon2009-01-10.dpa4060.flac16__jcommon2009-01-10dpa4060_t01.flac,1.00,0.533
clean,jcommon2009-01-10.dpa4060.flac16__jcommon2009-01-10dpa4060_t02.flac,0.00,0.409
clean,jcommon2009-01-10.m300.flac16__jcommon2009-01-10mg300_t01.flac,1.08,0.633
clean,jcommon2009-01-10.m300.flac16__jcommon2009-01-10mg300_t02.flac,1.00,0.432
clean,joecirotti2026-08-01.matrix2__01 intro.flac,1.00,0.159
clean,joecirotti2026-08-01.matrix2__02 My Sisters and Brothers.flac,1.00,0.292
clean,joecirotti2026-08-01.matrix__01 intro.flac,1.00,0.159
clean,joecirotti2026-08-01.matrix__02 My Sisters and Brothers.flac,1.00,0.292
clean,kgb2026-08-08__06 Band Intros.flac,0.00,0.285
clean,kgb2026-08-08__07 My Sisters and Brothers.flac,1.00,0.260
clean,lettuce2026-06-13__lettuce2026-06-13d01t01.flac,0.00,0.345
clean,lettuce2026-06-13__lettuce2026-06-13d01t02.flac,1.00,0.675
clean,lettuce2026-06-13__lettuce2026-06-13d01t03.flac,1.00,0.258
clean,lettuce2026-06-13__lettuce2026-06-13d01t04.flac,1.00,0.161
clean,lf2025-05-10.AUD-MTX.Cafiero.Doctorzap.flac1648__LF_00001.flac,1.71,0.359
clean,lf2025-05-10.AUD-MTX.Cafiero.Doctorzap.flac1648__LF_00002.flac,4.59,0.428
clean,lf2025-05-28.AUD-MTX.Cafiero.Doctorzap.flac1648__LF_0001.flac,1.00,0.323
clean,lf2025-05-28.AUD-MTX.Cafiero.Doctorzap.flac1648__LF_0002.flac,1.00,0.420
clean,mc2026-08-09.-KM140-B30mni__MC_20260809_KM140-B2_S01-01.flac,1.00,0.407
clean,mc2026-08-09.-KM140-B30mni__MC_20260809_KM140-B2_S01-02.flac,1.00,0.327
clean,mc2026-08-09.RODENT5-ZOOMH6-FLAC8__101. Don't Do It.flac,2.43,0.300
clean,mc2026-08-09.RODENT5-ZOOMH6-FLAC8__105. Dream.flac,1.00,0.284
clean,mdgogojungle2009-10-29.mk012.flac16__gogojungle2009-10-29t01.flac,1.00,0.758
clean,mdgogojungle2009-10-29.mk012.flac16__gogojungle2009-10-29t02.flac,1.14,0.470
clean,mdgogojungle2009-10-29.mk012.flac16__gogojungle2009-10-29t03.flac,1.06,0.367
clean,mdgogojungle2009-10-29.mk012.flac16__gogojungle2009-10-29t04.flac,1.35,0.405
clean,moe2026-08-13.neumann__moe2026-08-13d1t01.flac,1.00,0.342
clean,moe2026-08-13.neumann__moe2026-08-13d1t02.flac,1.00,0.288
clean,mofro2026-08-07.at853.f3__01)  Higher You Climb.flac,1.45,0.285
clean,mofro2026-08-07.at853.f3__02)  War.flac,1.00,0.410
clean,pachy2025-04-25__pachy2025-04-25d1t01.flac,1.09,0.230
clean,pachy2025-04-25__pachy2025-04-25d1t02.flac,0.00,0.234
clean,pachy2025-07-31__pachy2025-07-31d1t01.flac,1.00,0.504
clean,pachy2025-07-31__pachy2025-07-31d1t02.flac,1.00,0.650
clean,"rad2000-04-08.dsb.mossa.flac1644__rads 2000-04-08. dsb. Irving Plaza, NYC.s01t01.flac",1.00,0.587
clean,"rad2000-04-08.dsb.mossa.flac1644__rads 2000-04-08. dsb. Irving Plaza, NYC.s01t03.flac",1.24,0.454
clean,"rad2000-04-28.dsb.mossa.flac1644__rads 2000-04-28. dsb. Tips, NO, LA.s01t01.flac",1.00,0.449
clean,"rad2000-04-28.dsb.mossa.flac1644__rads 2000-04-28. dsb. Tips, NO, LA.s01t02.flac",1.00,0.324
clean,"rad2001-03-08.dsb.nutmeg.mossa.flac1644__rads2001-03-08. dsb. Winter Park, CO.s01t01.flac",1.00,0.250
clean,"rad2001-03-08.dsb.nutmeg.mossa.flac1644__rads2001-03-08. dsb. Winter Park, CO.s01t02.flac",0.00,0.340
clean,spin2026-08-11__01 Rock 'N' Roll Heaven.flac,nan,0.281
clean,spin2026-08-11__02 What Time Is It.flac,nan,0.373
clean,spin2026-08-11__03 She Stands Alone.flac,nan,0.189
clean,spin2026-08-11__04 How Could You Want Him (When You Know You Could Have Me).flac,nan,0.547
clean,swellseason2010-02-10.cm30.Hoegert.flac16__the swell season - vienna-100210-CD1-01 this low.flac,0.00,0.562
clean,swellseason2010-02-10.cm30.Hoegert.flac16__the swell season - vienna-100210-CD1-02 blue eyes crying.flac,0.00,0.845
clean,swellseason2010-02-10.cm30.Hoegert.flac16__the swell season - vienna-100210-CD1-03 felling the pull.flac,0.00,0.606
clean,swellseason2010-02-10.cm30.Hoegert.flac16__the swell season - vienna-100210-CD1-04 low rising.flac,0.00,0.544
clean,tha2026-06-13__thehip2026-06-13d01t01.flac,1.00,0.666
clean,tha2026-06-13__thehip2026-06-13d01t02.flac,1.00,0.338
clean,tha2026-06-13__thehip2026-06-13d01t03.flac,0.00,0.461
clean,tha2026-06-13__thehip2026-06-13d01t04.flac,1.00,0.366
clean,tsp1996-05-11.aud1__Smashing Pumpkins 1996-05-11 AUD1 t01 Mellon Collie and the Infinite Sadness.flac,0.00,0.193
clean,tsp1996-05-11.aud1__Smashing Pumpkins 1996-05-11 AUD1 t02 Where Boys Fear to Tread.flac,1.00,0.431
clean,um2026-08-13.neumann__um2026-08-13d1t01.flac,0.00,0.359
clean,um2026-08-13.neumann__um2026-08-13d1t02.flac,1.00,0.440
clean,uproot2026-08-07.sbd.spyder9.flac16__uproot2026-08-07s1t01.sbd.spyder9.flac16.flac,1.08,0.425
clean,uproot2026-08-07.sbd.spyder9.flac16__uproot2026-08-07s1t02.sbd.spyder9.flac16.flac,1.06,0.346
clean,watt2000-10-20__watt2000-10-20t01.flac,1.16,0.649
clean,watt2000-10-20__watt2000-10-20t02.flac,1.00,0.222
clean,ween1996-05-04__ween1996-05-04t01.flac,0.00,0.280
clean,ween1996-05-04__ween1996-05-04t02.flac,0.00,0.302
clean,woods2011-02-04.nyctaper__Woods2011-02-04_nyctaper_t01.flac,0.00,0.364
clean,woods2011-02-04.nyctaper__Woods2011-02-04_nyctaper_t02.flac,1.00,0.409
clean,yarn2026-08-02.matrix__01 intro.flac,1.00,0.184
clean,yarn2026-08-02.matrix__02 Heaven In You.flac,0.00,0.258
clean,younganddead.aud2026-07-30.3__01-The Music Never Stopped.flac,1.00,0.374
clean,younganddead.aud2026-07-30.3__03-Jack Straw.flac,1.00,0.409
quarantined,calexico2003-03-20__Calexico_2003-03-20t01.flac,1.00,0.223
quarantined,calexico2003-03-20__Calexico_2003-03-20t02.flac,1.00,0.457
quarantined,calexico2003-10-05__Calexico_2003-10-05t01.flac,1.00,0.274
quarantined,calexico2003-10-05__Calexico_2003-10-05t02.flac,0.00,0.487
quarantined,calexico2003-10-06__Calexico_2003-10-06t01.flac,1.00,0.331
quarantined,calexico2003-10-06__Calexico_2003-10-06t02.flac,1.00,0.306
quarantined,calexico2003-10-07__Calexico_2003-10-07t01.flac,0.00,0.341
quarantined,calexico2003-10-07__Calexico_2003-10-07t02.flac,1.00,0.254
quarantined,calexico2005-07-17__Calexico_2005-07-17t01.flac,1.00,0.409
quarantined,calexico2005-07-17__Calexico_2005-07-17t02.flac,0.00,0.387
quarantined,calexico2005-12-08__Calexico_2005-12-08t01.flac,1.00,0.230
quarantined,calexico2005-12-08__Calexico_2005-12-08t02.flac,1.09,0.527
quarantined,calexico2006-03-23.ECM__Calexico_2006-03-23t01.flac,1.00,0.195
quarantined,calexico2006-03-23.ECM__Calexico_2006-03-23t02.flac,1.08,0.309
quarantined,calexico2006-03-23.ECM__Calexico_2006-03-23t03.flac,1.00,0.453
quarantined,calexico2006-03-23.ECM__Calexico_2006-03-23t04.flac,1.00,0.406
quarantined,calexico2006-07-07__Calexico_2006-07-07t01.flac,1.00,0.400
quarantined,calexico2006-07-07__Calexico_2006-07-07t02.flac,1.07,0.430
quarantined,calexico2006-07-07__Calexico_2006-07-07t03.flac,1.09,0.506
quarantined,calexico2006-07-07__Calexico_2006-07-07t04.flac,1.00,0.500
quarantined,calexico2006-07-09__Calexico_2006-07-09t01.flac,0.00,0.419
quarantined,calexico2006-07-09__Calexico_2006-07-09t02.flac,1.00,0.353
quarantined,calexico2006-08-12__Calexico_2006-08-12t01.flac,1.06,0.452
quarantined,calexico2006-08-12__Calexico_2006-08-12t02.flac,1.00,0.411
quarantined,calexico2006-08-12__Calexico_2006-08-12t03.flac,1.00,0.478
quarantined,calexico2006-08-12__Calexico_2006-08-12t04.flac,1.00,0.546
quarantined,calexico2007-07-08__Calexico_2006-07-08t01.flac,1.00,0.705
quarantined,calexico2007-07-08__Calexico_2006-07-08t02.flac,1.00,0.338
quarantined,calexico2007-07-08__Calexico_2006-07-08t03.flac,0.00,0.178
quarantined,calexico2007-07-08__Calexico_2006-07-08t04.flac,1.11,0.412
quarantined,glenhansard2016-04-02.IR815.karstenausNDH.flac16__01. Talk.flac,1.00,0.757
quarantined,glenhansard2016-04-02.IR815.karstenausNDH.flac16__02. Glen Hansard_ Her Mercy.flac,1.00,0.540
