source,path_hash,ratio_kbd,ratio_vorbis,ratio_max
library,2c45e6be54298568,1.2927,1.2515,1.2927
library,2cb277430a67d934,1.1381,1.1978,1.1978
library,2cb75db1c6262d85,1.2849,1.2216,1.2849
library,2cc5ac4676851c55,1.2099,1.3129,1.3129
library,2ce991bec5a93585,1.2102,1.2625,1.2625
library,2cf729a9c83e753d,1.1304,1.0988,1.1304
library,2d016cf6b8624911,1.2289,1.3059,1.3059
library,2d063c19fe84c034,1.1139,1.1392,1.1392
library,2d9b3c8296e155d8,1.2195,1.3086,1.3086
library,2dea4131885419d2,1.2785,1.3631,1.3631
library,2e065f41404a07de,1.1807,1.1928,1.1928
library,2e1d9a1bfa662878,1.2683,1.2588,1.2683
library,2e4cd019475d64e9,1.2727,1.2651,1.2727
library,2e5270d91b5a359f,1.1908,1.2414,1.2414
library,2e9e81092c110f48,1.1548,1.3171,1.3171
library,2fc88796342b7702,1.2469,1.2439,1.2469
library,2fcb1de979853044,1.2099,1.2242,1.2242
library,2fd47bdfd2ee5ac6,1.2455,1.1716,1.2455
library,2fff636cc501cd34,1.2439,1.2840,1.2840
library,3007668b15b521bc,1.2169,1.2824,1.2824
library,3059a165b8deba99,1.1807,1.2078,1.2078
library,3073ceb2c27c8480,1.2298,1.2317,1.2317
library,30c43d7d846cccb9,1.1955,1.2000,1.2000
library,311fc97d13bb6f4d,1.0988,1.2500,1.2500
library,312a864f950fe333,1.2453,1.2892,1.2892
library,314e44d3f5776262,1.2125,1.1976,1.2125
library,31559a9a2bb07d6b,1.2500,1.2250,1.2500
library,3233d25ff3799a99,1.2658,1.2179,1.2658
library,32a9206fd97427d6,1.2561,1.1975,1.2561
library,32aeed7e2018ee88,1.2544,1.2024,1.2544
library,32b358ebd4092822,1.1696,1.2023,1.2023
library,32df206a333a27d1,1.2472,1.1818,1.2472
library,333bcc1f2356faa5,1.2658,1.2638,1.2658
library,336e23b2162ddec7,1.3012,1.2209,1.3012
library,336e79ded13ed08f,1.1856,1.1445,1.1856
library,337e2c5fa2869590,1.2195,1.4268,1.4268
library,346ea29cdabd0000,1.2963,1.3136,1.3136
library,34810d01d0593459,1.2469,1.3252,1.3252
library,34a4103f083d1012,1.2692,1.1410,1.2692
library,34e5fb86b39f3318,1.2426,1.2530,1.2530
