arm,file,verdict,score,families
aac_ff256,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,SUSPICIOUS,55,mdct
aac_ff256,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,SUSPICIOUS,55,mdct
aac_ff256,015-08-Jos-Gonz-lez-Vissel.flac,SUSPICIOUS,55,mdct
aac_ff256,016-03-Memory-Tapes-Green-knight.flac,FAKE_CERTAIN,85,cnn+mdct
aac_ff256,017-13-Cafe-Del-Mar-Submariner.flac,FAKE_CERTAIN,85,cnn+mdct
aac_ff256,018-04-Bag-o-wire-Resovoir.flac,FAKE_CERTAIN,85,cnn+mdct
aac_ff256,019-04-Kohi-Jadu.flac,FAKE_CERTAIN,83,cnn+mdct+temporal
aac_ff256,020-06-Bola-Tigantabame.flac,FAKE_CERTAIN,79,cnn+mdct
aac_ff256,021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,SUSPICIOUS,55,mdct
aac_ff256,022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,SUSPICIOUS,64,mdct
aac_ff256,023-01-Yusef-Lateef-Buddy-and-lou.flac,FAKE_CERTAIN,85,cnn+mdct
aac_ff256,024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,SUSPICIOUS,55,mdct
aac_ff256,025-07-Bolalar-Lola.flac,FAKE_CERTAIN,85,cnn+mdct
aac_ff256,026-06-Oumou-Dioubat-Siyala.flac,FAKE_CERTAIN,85,cnn+mdct+temporal
aac_ff256,027-01-Dimlite-Kitty-Cradle-Fog.flac,FAKE_CERTAIN,85,cnn+mdct
aac_ff256,028-04-Lisu-Yue-phue-alcool-de-ma-s.flac,SUSPICIOUS,55,mdct
aac_ff256,029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul.flac,SUSPICIOUS,55,mdct
aac_ff256,030-06-S-bastien-Tellier-Benny.flac,FAKE_CERTAIN,85,cnn+mdct
aac_ff256,031-07-Shkoon-Just-Emma-Id.flac,SUSPICIOUS,55,mdct
aac_ff256,032-05-2kilos-more-Cache-feu.flac,FAKE_CERTAIN,85,cnn+mdct
aac_ff256,033-01-Daylight-Rising.flac,FAKE_CERTAIN,85,cnn+mdct
aac_ff256,034-09-Snow-Ghosts-Bowline.flac,SUSPICIOUS,55,mdct
aac_ff256,035-16-Slow-Air-In-Dropped-D.flac,SUSPICIOUS,55,mdct
aac_ff256,036-08-Nicolas-Comment-Amaurose.flac,FAKE_CERTAIN,85,cnn+mdct
aac_ff256,037-02-Super-Cayor-De-Dakar-Emboutaieillage.flac,FAKE_CERTAIN,85,cnn+mdct
aac_ff256,038-11-Red-Hot-Chili-Peppers-This-velvet-glove.flac,FAKE_CERTAIN,85,cnn+mdct
aac_ff256,039-13-Kat-Onoma-Change-blues.flac,FAKE_CERTAIN,85,cnn+mdct
aac_ff320,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,SUSPICIOUS,55,mdct
aac_ff320,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,SUSPICIOUS,55,mdct
aac_ff320,002-03-Hraach-Let-it-go.flac,SUSPICIOUS,55,mdct
aac_ff320,003-01-Thor-Dari-lullaby.flac,SUSPICIOUS,55,mdct
aac_ff320,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,SUSPICIOUS,55,mdct
aac_ff320,005-17-Los-Seven-Del-Swing-Celoso.flac,SUSPICIOUS,55,mdct
aac_ff320,006-09-Mahmoud-Ahmed-Tezeta.flac,SUSPICIOUS,55,mdct
aac_ff320,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,SUSPICIOUS,55,mdct
aac_ff320,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,FAKE_CERTAIN,107,mdct+spectral+temporal
aac_ff320,009-03-Ilya-Beshevli-To-solitude.flac,SUSPICIOUS,55,mdct
aac_ff320,010-06-Jon-Hassell-These-times.flac,SUSPICIOUS,55,mdct
aac_ff320,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,SUSPICIOUS,55,mdct
aac_ff320,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,SUSPICIOUS,55,mdct
aac_ff320,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,SUSPICIOUS,55,mdct
aac_ff320,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,SUSPICIOUS,55,mdct
aac_ff320,015-08-Jos-Gonz-lez-Vissel.flac,SUSPICIOUS,55,mdct
aac_ff320,016-03-Memory-Tapes-Green-knight.flac,SUSPICIOUS,56,mdct
aac_ff320,017-13-Cafe-Del-Mar-Submariner.flac,SUSPICIOUS,55,mdct
aac_ff320,018-04-Bag-o-wire-Resovoir.flac,FAKE_CERTAIN,85,cnn+mdct
aac_ff320,019-04-Kohi-Jadu.flac,FAKE_CERTAIN,55,mdct+temporal
aac_ff320,020-06-Bola-Tigantabame.flac,SUSPICIOUS,55,mdct
aac_ff320,021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,FAKE_CERTAIN,105,mdct+spectral
aac_ff320,022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,SUSPICIOUS,55,mdct
aac_ff320,023-01-Yusef-Lateef-Buddy-and-lou.flac,SUSPICIOUS,55,mdct
aac_ff320,024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,SUSPICIOUS,55,mdct
aac_ff320,025-07-Bolalar-Lola.flac,SUSPICIOUS,55,mdct
aac_ff320,026-06-Oumou-Dioubat-Siyala.flac,FAKE_CERTAIN,55,mdct+temporal
aac_ff320,027-01-Dimlite-Kitty-Cradle-Fog.flac,SUSPICIOUS,55,mdct
aac_ff320,028-04-Lisu-Yue-phue-alcool-de-ma-s.flac,SUSPICIOUS,55,mdct
aac_ff320,029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul.flac,SUSPICIOUS,55,mdct
aac_ff320,030-06-S-bastien-Tellier-Benny.flac,SUSPICIOUS,55,mdct
aac_ff320,031-07-Shkoon-Just-Emma-Id.flac,SUSPICIOUS,55,mdct
aac_ff320,032-05-2kilos-more-Cache-feu.flac,FAKE_CERTAIN,85,cnn+mdct
aac_ff320,033-01-Daylight-Rising.flac,SUSPICIOUS,65,mdct
aac_ff320,034-09-Snow-Ghosts-Bowline.flac,SUSPICIOUS,55,mdct
aac_ff320,035-16-Slow-Air-In-Dropped-D.flac,SUSPICIOUS,55,mdct
aac_ff320,036-08-Nicolas-Comment-Amaurose.flac,FAKE_CERTAIN,85,cnn+mdct
aac_ff320,037-02-Super-Cayor-De-Dakar-Emboutaieillage.flac,SUSPICIOUS,63,mdct
aac_ff320,038-11-Red-Hot-Chili-Peppers-This-velvet-glove.flac,SUSPICIOUS,55,mdct
aac_ff320,039-13-Kat-Onoma-Change-blues.flac,SUSPICIOUS,55,mdct
aacmf_256,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,AUTHENTIC,25,mdct
aacmf_256,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,FAKE_CERTAIN,91,cnn+mdct
aacmf_256,002-03-Hraach-Let-it-go.flac,FAKE_CERTAIN,84,cnn+mdct
aacmf_256,003-01-Thor-Dari-lullaby.flac,WARNING,31,cnn
aacmf_256,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,WARNING,31,cnn
aacmf_256,005-17-Los-Seven-Del-Swing-Celoso.flac,FAKE_CERTAIN,83,cnn+spectral+temporal
aacmf_256,006-09-Mahmoud-Ahmed-Tezeta.flac,SUSPICIOUS,55,mdct
aacmf_256,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,FAKE_CERTAIN,85,cnn+mdct
aacmf_256,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,WARNING,41,cnn+temporal
aacmf_256,009-03-Ilya-Beshevli-To-solitude.flac,SUSPICIOUS,55,mdct
aacmf_256,010-06-Jon-Hassell-These-times.flac,SUSPICIOUS,55,mdct
aacmf_256,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,WARNING,31,cnn
aacmf_256,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,FAKE_CERTAIN,82,cnn+spectral
aacmf_256,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,SUSPICIOUS,55,mdct
aacmf_256,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,AUTHENTIC,25,mdct
aacmf_256,015-08-Jos-Gonz-lez-Vissel.flac,SUSPICIOUS,55,mdct
aacmf_256,016-03-Memory-Tapes-Green-knight.flac,FAKE_CERTAIN,85,cnn+mdct
aacmf_256,017-13-Cafe-Del-Mar-Submariner.flac,FAKE_CERTAIN,55,cnn+mdct
aacmf_256,018-04-Bag-o-wire-Resovoir.flac,FAKE_CERTAIN,85,cnn+mdct
aacmf_256,019-04-Kohi-Jadu.flac,FAKE_CERTAIN,85,cnn+mdct+temporal
aacmf_256,020-06-Bola-Tigantabame.flac,WARNING,31,cnn
aacmf_256,021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,WARNING,47,cnn
aacmf_256,022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,FAKE_CERTAIN,56,spectral+temporal
aacmf_256,023-01-Yusef-Lateef-Buddy-and-lou.flac,WARNING,31,cnn
aacmf_256,024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,AUTHENTIC,0,
aacmf_256,025-07-Bolalar-Lola.flac,WARNING,31,cnn+temporal
aacmf_256,026-06-Oumou-Dioubat-Siyala.flac,WARNING,31,cnn+temporal
aacmf_256,027-01-Dimlite-Kitty-Cradle-Fog.flac,FAKE_CERTAIN,85,cnn+mdct
aacmf_256,028-04-Lisu-Yue-phue-alcool-de-ma-s.flac,AUTHENTIC,0,
aacmf_256,029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul.flac,WARNING,31,cnn
aacmf_256,030-06-S-bastien-Tellier-Benny.flac,WARNING,31,cnn
aacmf_256,031-07-Shkoon-Just-Emma-Id.flac,AUTHENTIC,0,
aacmf_256,032-05-2kilos-more-Cache-feu.flac,FAKE_CERTAIN,66,mdct+temporal
aacmf_256,033-01-Daylight-Rising.flac,FAKE_CERTAIN,85,cnn+mdct
aacmf_256,034-09-Snow-Ghosts-Bowline.flac,AUTHENTIC,25,mdct
aacmf_256,035-16-Slow-Air-In-Dropped-D.flac,SUSPICIOUS,55,mdct
aacmf_256,036-08-Nicolas-Comment-Amaurose.flac,FAKE_CERTAIN,55,cnn+mdct
aacmf_256,037-02-Super-Cayor-De-Dakar-Emboutaieillage.flac,WARNING,31,cnn
aacmf_256,038-11-Red-Hot-Chili-Peppers-This-velvet-glove.flac,FAKE_CERTAIN,85,cnn+mdct
aacmf_256,039-13-Kat-Onoma-Change-blues.flac,WARNING,31,cnn+temporal
mp3_192,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,AUTHENTIC,6,temporal
mp3_192,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,WARNING,37,cnn
mp3_192,002-03-Hraach-Let-it-go.flac,FAKE_CERTAIN,86,cnn+spectral+temporal
mp3_192,003-01-Thor-Dari-lullaby.flac,FAKE_CERTAIN,86,cnn+spectral+temporal
mp3_192,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,WARNING,36,cnn+temporal
mp3_192,005-17-Los-Seven-Del-Swing-Celoso.flac,FAKE_CERTAIN,57,cnn+spectral
mp3_192,006-09-Mahmoud-Ahmed-Tezeta.flac,AUTHENTIC,6,temporal
mp3_192,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,WARNING,40,cnn
mp3_192,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,WARNING,43,cnn+temporal
mp3_192,009-03-Ilya-Beshevli-To-solitude.flac,AUTHENTIC,0,temporal
mp3_192,010-06-Jon-Hassell-These-times.flac,SUSPICIOUS,56,spectral
mp3_192,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,WARNING,36,cnn+temporal
