orig_idx,kind,is_transcode,src_rolloff_bucket,model_fp_orig,p_transcoded,cutoff_freq,cutoff_std,energy_ratio,real_bitrate_kbps,bit_depth,apparent_bitrate_kbps,comp_ratio
35,mp3_128,1,10-14k,0,0.9858,16500,117.9,3e-08,766.2,16,1411.0,0.543
35,mp3_320,1,10-14k,0,0.9916,20250,0.0,4.42e-06,835.5,16,1411.0,0.5921
35,mp3_v0,1,10-14k,0,0.9892,22050.0,0.0,4.64e-06,836.2,16,1411.0,0.5927
32,authentic,0,<4k,0,0.1302,22050.0,0.0,9e-08,515.3,16,1411.0,0.3652
32,mp3_128,1,<4k,0,0.5958,16500,117.9,0.0,465.9,16,1411.0,0.3302
32,mp3_320,1,<4k,0,0.1637,20250,0.0,8e-08,524.5,16,1411.0,0.3717
32,mp3_v0,1,<4k,0,0.5791,20500,117.9,0.0,486.2,16,1411.0,0.3446
33,authentic,0,>=14k,0,0.0291,22050.0,0.0,0.00022453,985.4,16,1411.0,0.6984
33,mp3_128,1,>=14k,0,0.487,16750,0.0,1.966e-05,928.6,16,1411.0,0.6581
33,mp3_320,1,>=14k,0,0.9526,20250,0.0,0.00019603,997.9,16,1411.0,0.7072
33,mp3_v0,1,>=14k,0,0.9881,22050.0,0.0,0.00025716,1011.1,16,1411.0,0.7166
36,authentic,0,>=14k,0,0.046,21250,0.0,4.167e-05,776.6,16,1411.0,0.5504
36,mp3_128,1,>=14k,0,0.9408,16750,0.0,5.97e-06,740.1,16,1411.0,0.5245
36,mp3_320,1,>=14k,0,0.7912,20250,0.0,4.124e-05,790.5,16,1411.0,0.5602
36,mp3_v0,1,>=14k,0,0.7419,21000,117.9,4.077e-05,774.5,16,1411.0,0.5489
37,authentic,0,10-14k,1,0.809,16250,942.8,2.5e-07,912.9,16,1411.0,0.647
37,mp3_128,1,10-14k,1,0.8736,16000,117.9,3e-08,969.8,16,1411.0,0.6873
37,mp3_320,1,10-14k,1,0.9238,16250,825.0,2.2e-07,987.4,16,1411.0,0.6998
37,mp3_v0,1,10-14k,1,0.5491,16250,889.8,2.3e-07,984.9,16,1411.0,0.698
40,authentic,0,<4k,0,0.157,22050.0,0.0,3.4e-07,624.7,16,1411.0,0.4427
40,mp3_128,1,<4k,0,0.6168,16500,117.9,0.0,525.6,16,1411.0,0.3725
40,mp3_320,1,<4k,0,0.574,20250,0.0,2.1e-07,623.6,16,1411.0,0.442
40,mp3_v0,1,<4k,0,0.5433,22050.0,0.0,0.0,566.8,16,1411.0,0.4017
41,authentic,0,7-10k,0,0.1554,22050.0,0.0,1.5e-06,911.2,16,1411.0,0.6458
41,mp3_128,1,7-10k,0,0.946,16000,0.0,0.0,860.8,16,1411.0,0.6101
41,mp3_320,1,7-10k,0,0.9924,20000,117.9,1.14e-06,929.0,16,1411.0,0.6584
41,mp3_v0,1,7-10k,0,0.9536,22050.0,0.0,1.53e-06,940.0,16,1411.0,0.6662
38,authentic,0,4-7k,1,0.5392,22050.0,0.0,0.0,643.4,16,1411.0,0.456
38,mp3_128,1,4-7k,1,0.6405,16250,0.0,0.0,629.5,16,1411.0,0.4461
38,mp3_320,1,4-7k,1,0.537,20000,0.0,0.0,638.4,16,1411.0,0.4525
38,mp3_v0,1,4-7k,1,0.5464,16250,235.7,0.0,636.3,16,1411.0,0.451
39,authentic,0,<4k,1,0.992,21750,0.0,1.8e-07,847.2,16,1411.0,0.6004
39,mp3_128,1,<4k,1,0.9419,16250,117.9,0.0,964.9,16,1411.0,0.6839
39,mp3_320,1,<4k,1,0.989,20000,117.9,1.2e-07,1025.5,16,1411.0,0.7268
39,mp3_v0,1,<4k,1,0.9817,21000,117.9,3e-08,999.0,16,1411.0,0.708
42,authentic,0,<4k,0,0.2038,21500,117.9,1.25e-06,611.9,16,1411.0,0.4337
42,mp3_128,1,<4k,0,0.9786,16750,0.0,8e-08,537.9,16,1411.0,0.3812
42,mp3_320,1,<4k,0,0.9655,20250,0.0,1.01e-06,612.7,16,1411.0,0.4342
42,mp3_v0,1,<4k,0,0.1716,21500,117.9,1.12e-06,592.2,16,1411.0,0.4197
43,authentic,0,7-10k,1,0.5337,22050.0,0.0,6e-08,545.7,16,1411.0,0.3868
43,mp3_128,1,7-10k,1,0.6013,16250,2734.1,0.0,513.0,16,1411.0,0.3635
43,mp3_320,1,7-10k,1,0.5286,20000,966.4,4e-08,559.5,16,1411.0,0.3965
43,mp3_v0,1,7-10k,1,0.5432,16250,2734.1,1e-08,529.2,16,1411.0,0.3751
48,authentic,0,<4k,1,0.5533,22050.0,0.0,1.3e-07,562.8,16,1411.0,0.3988
48,mp3_128,1,<4k,1,0.6717,16750,0.0,0.0,465.1,16,1411.0,0.3296
48,mp3_320,1,<4k,1,0.5652,20250,0.0,8e-08,560.5,16,1411.0,0.3972
48,mp3_v0,1,<4k,1,0.5609,22050.0,0.0,1e-08,523.8,16,1411.0,0.3713
49,authentic,0,>=14k,1,0.8004,21750,0.0,0.00028799,903.3,16,1411.0,0.6402
49,mp3_128,1,>=14k,1,0.964,16750,0.0,5.25e-06,788.7,16,1411.0,0.559
49,mp3_320,1,>=14k,1,0.9422,20250,0.0,0.00023118,904.0,16,1411.0,0.6406
49,mp3_v0,1,>=14k,1,0.909,21750,0.0,0.00029398,911.5,16,1411.0,0.646
46,authentic,0,10-14k,1,0.7574,19750,0.0,6.53e-06,919.6,16,1411.0,0.6517
46,mp3_128,1,10-14k,1,0.9835,16750,0.0,2.54e-06,1007.0,16,1411.0,0.7137
46,mp3_320,1,10-14k,1,0.8257,19750,0.0,7e-06,1053.8,16,1411.0,0.7468
46,mp3_v0,1,10-14k,1,0.9751,19750,0.0,7.17e-06,1047.2,16,1411.0,0.7422
47,authentic,0,7-10k,1,0.514,22050.0,0.0,0.00024329,816.6,16,1411.0,0.5787
47,mp3_128,1,7-10k,1,0.904,16500,0.0,1.269e-05,783.1,16,1411.0,0.555
