arm,file,seam,seam_hz,cutoff_hz
mp3_320,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,8.0968,6568,10691
mp3_320,015-08-Jos-Gonz-lez-Vissel.flac,26.7339,3004,20177
mp3_320,016-03-Memory-Tapes-Green-knight.flac,4.8289,5663,20101
mp3_320,017-13-Cafe-Del-Mar-Submariner.flac,7.7599,3553,20090
mp3_320,018-04-Bag-o-wire-Resovoir.flac,5.4125,3219,20037
mp3_320,019-04-Kohi-Jadu.flac,12.6219,3187,18626
mp3_320,020-06-Bola-Tigantabame.flac,4.4249,5609,18648
mp3_320,021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,4.8721,3768,17399
mp3_320,022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,9.1228,3359,19961
mp3_320,023-01-Yusef-Lateef-Buddy-and-lou.flac,5.6776,9991,20037
mp3_320,024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,7.8398,3736,20166
mp3_320,025-07-Bolalar-Lola.flac,5.5948,15848,19832
mp3_320,026-06-Oumou-Dioubat-Siyala.flac,6.5572,11585,20004
mp3_320,027-01-Dimlite-Kitty-Cradle-Fog.flac,11.7321,4436,20090
mp3_320,028-04-Lisu-Yue-phue-alcool-de-ma-s.flac,26.8978,3984,20155
mp3_320,029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul.flac,9.4647,8936,18217
mp3_320,030-06-S-bastien-Tellier-Benny.flac,6.0282,3208,20101
mp3_320,031-07-Shkoon-Just-Emma-Id.flac,11.9922,13652,20069
mp3_320,032-05-2kilos-more-Cache-feu.flac,8.2228,5071,18002
mp3_320,033-01-Daylight-Rising.flac,5.7139,4005,20026
mp3_320,034-09-Snow-Ghosts-Bowline.flac,4.8321,7946,19940
mp3_320,035-16-Slow-Air-In-Dropped-D.flac,5.5166,3370,20090
mp3_320,036-08-Nicolas-Comment-Amaurose.flac,9.6779,7160,20090
mp3_320,037-02-Super-Cayor-De-Dakar-Emboutaieillage.flac,6.0125,5965,20166
mp3_320,038-11-Red-Hot-Chili-Peppers-This-velvet-glove.flac,4.8898,6072,20015
mp3_320,039-13-Kat-Onoma-Change-blues.flac,11.0734,3025,19929
mp3_V0,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,7.3596,4177,15299
mp3_V0,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,8.4693,3575,18325
mp3_V0,002-03-Hraach-Let-it-go.flac,6.7377,12177,20500
mp3_V0,003-01-Thor-Dari-lullaby.flac,6.9738,3531,22039
mp3_V0,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,9.0928,3994,21533
mp3_V0,005-17-Los-Seven-Del-Swing-Celoso.flac,6.3996,5082,16925
mp3_V0,006-09-Mahmoud-Ahmed-Tezeta.flac,24.6801,16010,21996
mp3_V0,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,13.1871,15784,17377
mp3_V0,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,6.0127,3618,16301
mp3_V0,009-03-Ilya-Beshevli-To-solitude.flac,26.1058,3639,22050
mp3_V0,010-06-Jon-Hassell-These-times.flac,10.6550,3004,15999
mp3_V0,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,4.8720,3973,20887
mp3_V0,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,19.5823,5879,19843
mp3_V0,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,87.2101,16010,22018
mp3_V0,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,7.9178,6568,10680
mp3_V0,015-08-Jos-Gonz-lez-Vissel.flac,59.8710,16021,22028
mp3_V0,016-03-Memory-Tapes-Green-knight.flac,4.9345,5663,22007
mp3_V0,017-13-Cafe-Del-Mar-Submariner.flac,8.0624,3553,21695
mp3_V0,018-04-Bag-o-wire-Resovoir.flac,5.7780,3219,21178
mp3_V0,019-04-Kohi-Jadu.flac,12.1297,3187,18260
mp3_V0,020-06-Bola-Tigantabame.flac,4.4288,5609,18669
mp3_V0,021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,5.1298,3768,16150
mp3_V0,022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,10.2791,16010,18572
mp3_V0,023-01-Yusef-Lateef-Buddy-and-lou.flac,6.1269,9991,20650
mp3_V0,024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,9.1264,3736,22050
mp3_V0,025-07-Bolalar-Lola.flac,5.5170,8280,20812
mp3_V0,026-06-Oumou-Dioubat-Siyala.flac,6.5506,11585,20381
mp3_V0,027-01-Dimlite-Kitty-Cradle-Fog.flac,10.7487,4436,22050
mp3_V0,028-04-Lisu-Yue-phue-alcool-de-ma-s.flac,21.9814,3984,21081
mp3_V0,029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul.flac,7.3427,8936,15999
mp3_V0,030-06-S-bastien-Tellier-Benny.flac,5.9846,3208,21243
mp3_V0,031-07-Shkoon-Just-Emma-Id.flac,11.0753,13652,21910
mp3_V0,032-05-2kilos-more-Cache-feu.flac,8.0798,5071,18056
mp3_V0,033-01-Daylight-Rising.flac,5.5441,4005,20909
mp3_V0,034-09-Snow-Ghosts-Bowline.flac,4.9892,7946,20241
mp3_V0,035-16-Slow-Air-In-Dropped-D.flac,5.0939,3370,20920
mp3_V0,036-08-Nicolas-Comment-Amaurose.flac,9.5218,7160,20812
mp3_V0,037-02-Super-Cayor-De-Dakar-Emboutaieillage.flac,6.0505,5965,22007
mp3_V0,038-11-Red-Hot-Chili-Peppers-This-velvet-glove.flac,5.2698,6072,21576
mp3_V0,039-13-Kat-Onoma-Change-blues.flac,11.0997,3025,20241
aacmf_256,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,7.3687,4177,15299
aacmf_256,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,8.2867,3575,16817
aacmf_256,002-03-Hraach-Let-it-go.flac,6.6689,12177,20704
aacmf_256,003-01-Thor-Dari-lullaby.flac,6.8490,3531,22050
aacmf_256,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,8.9313,3994,21501
aacmf_256,005-17-Los-Seven-Del-Swing-Celoso.flac,6.4788,5082,16538
aacmf_256,006-09-Mahmoud-Ahmed-Tezeta.flac,23.1094,6137,22050
