file,stratum,reference_db,edge_20db_hz,edge_40db_hz
fd-exchange-v3-setA-r2-0189,band_limited_synthetic,-85.54,14330.3,15708.5
fd-exchange-v3-setA-r2-0190,band_limited_synthetic,-84.86,14346.5,15697.7
fd-exchange-v3-setA-r2-0191,full_band,-89.14,,
fd-exchange-v3-setA-r2-0192,band_limited_synthetic,-84.79,14281.9,14658.7
fd-exchange-v3-setA-r2-0193,full_band,-96.42,,
fd-exchange-v3-setA-r2-0194,band_limited_synthetic,-81.38,14416.5,15035.6
fd-exchange-v3-setA-r2-0195,full_band,-95.68,16596.7,17538.8
fd-exchange-v3-setA-r2-0196,band_limited_synthetic,-90.24,14540.3,16295.3
fd-exchange-v3-setA-r2-0197,band_limited_synthetic,-85.13,14561.8,15923.8
fd-exchange-v3-setA-r2-0198,band_limited_synthetic,-87.37,14335.7,15730.0
fd-exchange-v3-setA-r2-0199,band_limited_synthetic,-87.44,14551.1,15945.3
fd-exchange-v3-setA-r2-0200,full_band,-95.12,,
fd-exchange-v3-setA-r2-0201,full_band,-95.83,16591.3,19100.0
fd-exchange-v3-setA-r2-0202,band_limited_synthetic,-87.56,14545.7,15918.4
fd-exchange-v3-setA-r2-0203,band_limited_synthetic,-83.79,14502.6,15886.1
fd-exchange-v3-setA-r2-0204,full_band,-93.12,,
fd-exchange-v3-setA-r2-0205,full_band,-84.60,16354.5,18545.5
fd-exchange-v3-setA-r2-0206,full_band,-96.83,15961.5,
fd-exchange-v3-setA-r2-0207,full_band,-79.29,20042.0,20171.2
fd-exchange-v3-setA-r2-0208,band_limited_synthetic,-86.12,14588.7,15929.2
fd-exchange-v3-setA-r2-0209,band_limited_synthetic,-81.48,14529.5,15552.4
fd-exchange-v3-setA-r2-0210,full_band,-94.68,,
fd-exchange-v3-setA-r2-0211,band_limited_synthetic,-85.54,14325.0,15660.0
fd-exchange-v3-setA-r2-0212,band_limited_synthetic,-85.20,14567.2,16047.6
fd-exchange-v3-setA-r2-0213,full_band,-96.87,,
