file,ladder,generation,R_phase0,R_best,best_phase,sha_note
014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,L_mp3_320,4,0.059375757900550344,0.059375757900550344,0,
014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,A_aac_256,1,2.0650242574270137,1.8910989813405203,47,
014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,A_aac_256,2,2.090365431309131,2.050855347902911,47,
014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,A_aac_256,3,2.121222321066275,2.072552680074355,47,
014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,A_aac_256,4,2.2049949989461113,2.080702377409555,47,
015-08-Jos-Gonz-lez-Vissel.flac,master,0,3.2955337996771195,3.266982322000345,47,
015-08-Jos-Gonz-lez-Vissel.flac,L_mp3_320,1,0.2704224174972888,0.2704224174972888,0,
015-08-Jos-Gonz-lez-Vissel.flac,L_mp3_320,2,0.3528812362626633,0.3528812362626633,0,
015-08-Jos-Gonz-lez-Vissel.flac,L_mp3_320,3,0.17302030572280108,0.17302030572280108,0,
015-08-Jos-Gonz-lez-Vissel.flac,L_mp3_320,4,0.0922229119674445,0.0922229119674445,0,
015-08-Jos-Gonz-lez-Vissel.flac,A_aac_256,1,3.3041155022891164,3.3041155022891164,0,
015-08-Jos-Gonz-lez-Vissel.flac,A_aac_256,2,3.6163920001797796,3.4310359477499404,529,
015-08-Jos-Gonz-lez-Vissel.flac,A_aac_256,3,3.657827808604127,3.567020768336549,47,
015-08-Jos-Gonz-lez-Vissel.flac,A_aac_256,4,3.772816712201603,3.6906704720506784,47,
016-03-Memory-Tapes-Green-knight.flac,master,0,3.0615241966829614,3.0615241966829614,0,
016-03-Memory-Tapes-Green-knight.flac,L_mp3_320,1,0.8802554300115312,0.8802554300115312,0,
016-03-Memory-Tapes-Green-knight.flac,L_mp3_320,2,0.37131183836912357,0.37131183836912357,0,
016-03-Memory-Tapes-Green-knight.flac,L_mp3_320,3,0.35903190141477165,0.35903190141477165,0,
016-03-Memory-Tapes-Green-knight.flac,L_mp3_320,4,0.20555121890476855,0.20555121890476855,0,
016-03-Memory-Tapes-Green-knight.flac,A_aac_256,1,3.0364874763770144,2.954363688037165,529,
016-03-Memory-Tapes-Green-knight.flac,A_aac_256,2,2.9386352515941567,2.9386352515941567,0,
016-03-Memory-Tapes-Green-knight.flac,A_aac_256,3,2.8307471948432794,2.8307471948432794,0,
016-03-Memory-Tapes-Green-knight.flac,A_aac_256,4,2.8043339767045783,2.8043339767045783,0,
017-13-Cafe-Del-Mar-Submariner.flac,master,0,3.9036818224658365,3.819834386023704,47,
017-13-Cafe-Del-Mar-Submariner.flac,L_mp3_320,1,0.8451160219240754,0.8451160219240754,0,
017-13-Cafe-Del-Mar-Submariner.flac,L_mp3_320,2,0.8688846131701272,0.8688846131701272,0,
017-13-Cafe-Del-Mar-Submariner.flac,L_mp3_320,3,0.5633515050110716,0.5633515050110716,0,
017-13-Cafe-Del-Mar-Submariner.flac,L_mp3_320,4,0.496939650720615,0.496939650720615,0,
017-13-Cafe-Del-Mar-Submariner.flac,A_aac_256,1,4.112613431512553,3.802659645759473,47,
017-13-Cafe-Del-Mar-Submariner.flac,A_aac_256,2,3.8938063291459484,3.8938063291459484,0,
017-13-Cafe-Del-Mar-Submariner.flac,A_aac_256,3,4.0490308898325615,3.9202633117191255,47,
017-13-Cafe-Del-Mar-Submariner.flac,A_aac_256,4,3.9693236628163393,3.9693236628163393,0,
018-04-Bag-o-wire-Resovoir.flac,master,0,2.865977921166224,2.715110617929586,47,
018-04-Bag-o-wire-Resovoir.flac,L_mp3_320,1,1.3476516865959791,1.3476516865959791,0,
