idx,kind,codec,src_bucket,verdict11,verdict12
67,authentic,authentic,7-10k,FAKE_CERTAIN,FAKE_CERTAIN
67,transcode,aac_256,7-10k,AUTHENTIC,AUTHENTIC
74,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
74,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
75,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
75,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
80,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
80,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
81,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
81,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
82,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
82,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
83,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
83,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
78,authentic,authentic,10-14k,AUTHENTIC,WARNING
78,transcode,aac_256,10-14k,AUTHENTIC,WARNING
79,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
79,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
76,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
76,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
77,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
77,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
86,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
86,transcode,aac_256,10-14k,AUTHENTIC,WARNING
87,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
87,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
84,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
84,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
85,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
85,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
88,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
88,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
89,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
89,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
90,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
90,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
91,authentic,authentic,10-14k,FAKE_CERTAIN,FAKE_CERTAIN
91,transcode,aac_256,10-14k,FAKE_CERTAIN,FAKE_CERTAIN
94,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
94,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
95,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
95,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
100,authentic,authentic,>=14k,AUTHENTIC,AUTHENTIC
100,transcode,aac_256,>=14k,AUTHENTIC,AUTHENTIC
101,authentic,authentic,>=14k,AUTHENTIC,AUTHENTIC
101,transcode,aac_256,>=14k,AUTHENTIC,AUTHENTIC
92,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
92,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
93,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
93,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
102,authentic,authentic,>=14k,AUTHENTIC,AUTHENTIC
102,transcode,aac_256,>=14k,AUTHENTIC,AUTHENTIC
103,authentic,authentic,>=14k,AUTHENTIC,AUTHENTIC
103,transcode,aac_256,>=14k,AUTHENTIC,AUTHENTIC
98,authentic,authentic,>=14k,AUTHENTIC,AUTHENTIC
98,transcode,aac_256,>=14k,AUTHENTIC,AUTHENTIC
99,authentic,authentic,>=14k,AUTHENTIC,AUTHENTIC
99,transcode,aac_256,>=14k,AUTHENTIC,AUTHENTIC
96,authentic,authentic,>=14k,WARNING,WARNING
96,transcode,aac_256,>=14k,WARNING,SUSPICIOUS
97,authentic,authentic,>=14k,AUTHENTIC,AUTHENTIC
97,transcode,aac_256,>=14k,AUTHENTIC,AUTHENTIC
104,authentic,authentic,>=14k,AUTHENTIC,AUTHENTIC
104,transcode,aac_256,>=14k,AUTHENTIC,AUTHENTIC
105,authentic,authentic,>=14k,AUTHENTIC,AUTHENTIC
105,transcode,aac_256,>=14k,AUTHENTIC,AUTHENTIC
108,authentic,authentic,>=14k,AUTHENTIC,AUTHENTIC
108,transcode,aac_256,>=14k,AUTHENTIC,AUTHENTIC
109,authentic,authentic,>=14k,AUTHENTIC,AUTHENTIC
109,transcode,aac_256,>=14k,AUTHENTIC,AUTHENTIC
106,authentic,authentic,>=14k,AUTHENTIC,AUTHENTIC
106,transcode,aac_256,>=14k,AUTHENTIC,AUTHENTIC
107,authentic,authentic,>=14k,AUTHENTIC,AUTHENTIC
107,transcode,aac_256,>=14k,AUTHENTIC,AUTHENTIC
114,authentic,authentic,>=14k,AUTHENTIC,AUTHENTIC
114,transcode,aac_256,>=14k,AUTHENTIC,AUTHENTIC
115,authentic,authentic,>=14k,AUTHENTIC,AUTHENTIC
115,transcode,aac_256,>=14k,AUTHENTIC,AUTHENTIC
112,authentic,authentic,>=14k,AUTHENTIC,AUTHENTIC
112,transcode,aac_256,>=14k,AUTHENTIC,AUTHENTIC
113,authentic,authentic,>=14k,AUTHENTIC,AUTHENTIC
113,transcode,aac_256,>=14k,AUTHENTIC,AUTHENTIC
110,authentic,authentic,>=14k,AUTHENTIC,AUTHENTIC
110,transcode,aac_256,>=14k,AUTHENTIC,AUTHENTIC
111,authentic,authentic,>=14k,AUTHENTIC,AUTHENTIC
111,transcode,aac_256,>=14k,AUTHENTIC,AUTHENTIC
116,authentic,authentic,>=14k,AUTHENTIC,AUTHENTIC
116,transcode,aac_256,>=14k,AUTHENTIC,AUTHENTIC
117,authentic,authentic,>=14k,AUTHENTIC,AUTHENTIC
117,transcode,aac_256,>=14k,AUTHENTIC,AUTHENTIC
118,authentic,authentic,>=14k,AUTHENTIC,AUTHENTIC
118,transcode,aac_256,>=14k,AUTHENTIC,AUTHENTIC
119,authentic,authentic,>=14k,AUTHENTIC,AUTHENTIC
119,transcode,aac_256,>=14k,AUTHENTIC,AUTHENTIC
