file,population,expected,attributed,min_z,margin,R_mp3,R_aac,R_vorbis,R_opus,R_mp2
014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,fake/opus_256,opus,opus,-4.663,3.062,1.8411,6.9365,4.7849,0.9317,5.8719
015-08-Jos-Gonz-lez-Vissel.flac,fake/opus_256,opus,opus,-3.918,4.799,3.6857,5.7512,5.7946,2.2142,3.5029
016-03-Memory-Tapes-Green-knight.flac,fake/opus_256,opus,opus,-3.312,2.673,3.1375,-0.0037,1.6913,3.2586,0.7983
017-13-Cafe-Del-Mar-Submariner.flac,fake/opus_256,opus,opus,-3.381,2.489,4.1641,1.4570,0.9439,3.1386,0.5653
018-04-Bag-o-wire-Resovoir.flac,fake/opus_256,opus,opus,-3.858,2.863,2.2918,8.7536,3.0194,2.3189,1.5565
019-04-Kohi-Jadu.flac,fake/opus_256,opus,opus,-3.372,2.320,3.0674,1.5277,0.7666,3.1554,0.7887
020-06-Bola-Tigantabame.flac,fake/opus_256,opus,opus,-3.251,1.967,3.7444,0.4193,0.5062,3.3626,0.3969
021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,fake/opus_256,opus,opus,-2.928,2.301,3.9656,-0.2965,2.7903,3.9180,0.8169
022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,fake/opus_256,opus,opus,-3.721,2.045,1.7859,4.8278,3.2530,2.5538,0.1839
023-01-Yusef-Lateef-Buddy-and-lou.flac,fake/opus_256,opus,opus,-3.408,2.569,3.8713,0.6484,1.4197,3.0923,0.4564
012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,fake/vorbis_q8,vorbis,abstain,-1.078,0.092,5.0222,0.2582,0.7369,9.9618,0.2070
013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,fake/vorbis_q8,vorbis,abstain,-1.098,0.225,2.2154,10.1568,0.9663,9.1372,3.9539
014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,fake/vorbis_q8,vorbis,opus,-3.251,1.573,1.7838,5.6760,0.8906,3.3628,5.9527
015-08-Jos-Gonz-lez-Vissel.flac,fake/vorbis_q8,vorbis,abstain,-1.010,0.420,2.2803,4.8814,3.3100,7.9424,3.8157
016-03-Memory-Tapes-Green-knight.flac,fake/vorbis_q8,vorbis,abstain,-0.726,0.573,2.9561,1.3854,2.1557,9.7833,0.6485
017-13-Cafe-Del-Mar-Submariner.flac,fake/vorbis_q8,vorbis,abstain,-1.596,0.879,4.0571,1.5100,0.1566,9.8375,0.6644
018-04-Bag-o-wire-Resovoir.flac,fake/vorbis_q8,vorbis,abstain,0.120,0.128,3.2157,8.3989,2.4000,11.3428,2.0905
019-04-Kohi-Jadu.flac,fake/vorbis_q8,vorbis,vorbis,-1.771,1.175,2.9815,2.2004,-0.0391,8.5308,0.8713
020-06-Bola-Tigantabame.flac,fake/vorbis_q8,vorbis,abstain,-1.463,0.682,4.2934,1.3579,0.3058,9.2516,0.5563
021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,fake/vorbis_q8,vorbis,abstain,-0.765,0.395,3.8490,0.4815,2.7705,9.9347,0.5828
022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,fake/vorbis_q8,vorbis,abstain,-1.558,0.566,1.8735,2.8346,2.2827,10.8081,0.1963
023-01-Yusef-Lateef-Buddy-and-lou.flac,fake/vorbis_q8,vorbis,abstain,-1.574,0.650,3.5596,0.8103,0.1812,9.6155,0.3125
