track,sample_rate,cutoff,energy_ratio,cutoff_std,residual_floor_db,container_kbps
12 - Olivier Frossard -  Dreamalaya.flac,44100,22050.0,9.096e-08,0.0,nan,741
15 - Queen -  Seven seas of rhye.flac,44100,19250.0,8.417e-07,353.6,-49.9,899
10 Asabi.flac,44100,19250.0,1.140e-06,707.1,-37.0,886
12 - Saramaccan Sound (Suriname) -  Ancestor call.flac,44100,22050.0,1.177e-04,0.0,nan,923
09 - YĪN YĪN -  Shiatsu for dinner.flac,44100,21250.0,2.254e-06,117.9,nan,761
02 - One Mind's Eye Feat. Elsieanne -  Shiva.flac,44100,20500.0,3.454e-06,204.1,-36.0,917
08 - No Artist -  Khotyn chimee.flac,44100,22050.0,7.882e-07,0.0,nan,544
02 - Katerine -  Mon coeur balance.flac,44100,21500.0,2.970e-04,117.9,nan,958
02 - Vanilla Fudge -  People get ready.flac,44100,21000.0,4.510e-07,0.0,nan,431
12 - Jean Vayat -  Anahata.flac,44100,22050.0,1.039e-04,0.0,nan,940
15 - Roger Molls -  Lost angels.flac,44100,22050.0,6.425e-09,0.0,nan,676
27 - Elder Effie Hall And Congregation -  Precious lord hold my hand.flac,44100,22050.0,4.783e-06,0.0,nan,542
01 - Air Afrique.flac,44100,22050.0,2.311e-08,0.0,nan,408
05 - Hermanos Gutiérrez -  El fantasma.flac,44100,21750.0,2.242e-07,141.4,nan,732
03 - Restaurant Track -  Tompkins square park.flac,44100,22050.0,1.022e-04,0.0,nan,902
30 - Ogava Khacuko -  A cappella song .flac,44100,22050.0,1.027e-05,0.0,nan,652
10 - Michel Legrand -  Monte cristo - plein d'oiseaux.flac,44100,21500.0,2.690e-05,117.9,nan,1098
04 - Rey & Kjavïk -  Noc.flac,44100,21000.0,2.864e-07,117.9,nan,814
01 - A. R. Rahman -  Mumbai theme tune.flac,44100,21000.0,1.842e-07,447.8,nan,759
01 - Amram Solar & Hot Oasis -  Aine.flac,44100,16500.0,1.784e-08,117.9,nan,725
14 - Angus & Julia Stone -  You're the one that i want.flac,44100,22050.0,1.689e-05,0.0,nan,664
22 - A. A. Gray And Seven Foot Dilly -  The old ark's a moving.flac,44100,22050.0,1.527e-05,0.0,nan,533
Ave Africa  The complete recordings 1973-1976 - 11 - Sunburst - How can i get to you.flac,44100,22050.0,1.263e-07,0.0,nan,550
11 - Los Warahuaco - El Pescador de Baru.flac,44100,19250.0,1.419e-06,117.9,-37.7,879
00 - Marcos Valle -  09 - Viagem.flac,44100,22050.0,1.106e-05,0.0,nan,836
03 - Nora En Pure -  Saltwater.flac,44100,20000.0,1.386e-04,117.9,-48.7,1027
10 - Pretty Penny.flac,44100,21000.0,8.771e-06,117.9,nan,793
02 - The Cinematic Orchestra -  Burn out.flac,44100,22050.0,6.970e-07,0.0,nan,811
09 - Kat Onoma -  Old trouble.flac,44100,20750.0,9.831e-07,0.0,nan,888
"02 - Sigur Rós -  Alföður orkar (with steindór andersen, hilmar örn hilmarsson and maría huld markan sigfúsdóttir).flac",44100,22050.0,5.568e-07,0.0,nan,623
02 - The Cinematic Orchestra -  Familiar ground.flac,44100,20000.0,1.633e-06,117.9,-26.7,747
"26 - W. Guy Bruce -  Shout, lulu.flac",44100,22050.0,6.088e-07,0.0,nan,860
06 - The Cinematic Orchestra -  Postlude.flac,44100,22050.0,6.065e-08,0.0,nan,565
21 - Various Artists -  Ndingo [2] (bushmen).flac,44100,21250.0,1.025e-04,0.0,nan,645
16 - Michel Legrand -  La piscine - générique début.flac,44100,21250.0,1.781e-06,117.9,nan,1063
11 - Robert le Magnifique -  Impasse d.flac,44100,21750.0,2.702e-05,141.4,nan,764
02. Oj Tak.flac,44100,22050.0,2.361e-05,0.0,nan,879
06 - Télépopmusik -  Last train to wherever.flac,44100,21500.0,6.070e-06,259.3,nan,824
06 - Michel Legrand -  La piscine - une enquête.flac,44100,21500.0,1.614e-06,259.3,nan,776
11 - Cultural Troupe from Nioguébougoula -  Sigui lé (it's the wild buffalo).flac,44100,21000.0,6.022e-07,235.7,nan,739
"03 - Les Ogres De Barback, Tryo -  Estelle.flac",44100,21500.0,4.407e-05,259.3,nan,952
07 - Mulatu Astatke -  Gubelye (my gubel).flac,44100,22050.0,1.975e-07,0.0,nan,817
14 - J. Ismail & 'D' Irama -  Lupakan aku.flac,44100,21500.0,2.073e-07,0.0,nan,927
13 - Aku Pergi (I Go).flac,44100,21750.0,4.934e-06,0.0,nan,457
08. Jaymanur Ajabek - Beautiful Kushtar.flac,44100,20500.0,9.099e-07,117.9,-46.6,731
19 - David Shrigley -  Don'ts.flac,44100,18750.0,1.407e-06,1412.4,-35.8,299
13 - Roger Molls -  Rusty springs (featuring crop circles 720).flac,44100,22050.0,1.574e-05,0.0,nan,941
06 - Koko Ateba -  Nelson mandela.flac,44100,20250.0,1.181e-06,0.0,-32.8,831
05 - Sim Sisamouth - Don't Let My Girlfriend Tickle Me.flac,44100,22050.0,6.480e-07,0.0,nan,867
03 - Korore Khetenteevič Kokore -  La flèche bariolée = the multicoloured arrow.flac,44100,20500.0,2.690e-06,0.0,-36.0,740
07 - Sébastien Tellier -  Pam! exit la folle.flac,44100,22050.0,1.026e-06,0.0,nan,693
08 - Prodigy -  Beyond the deathray.flac,44100,20750.0,6.354e-07,612.8,nan,990
01 - The Anambra Beats -  Ayamma.flac,44100,19750.0,7.274e-07,471.4,-48.7,812
12 - Robert le Magnifique -  The ring (uls).flac,44100,21500.0,2.730e-05,0.0,nan,818
08 - Kow Otani -  The opened way ~battle theme~.flac,44100,21750.0,9.869e-07,141.4,nan,896
07 - Fred Fisher -  Asa-sa.flac,44100,21250.0,2.590e-05,334.2,nan,910
24 - Ethnic Groups -  O yoyo.flac,44100,22050.0,1.267e-07,0.0,nan,622
03 - Kante Manfila -  Mobereya.flac,44100,20750.0,1.559e-06,117.9,nan,799
05 - Majid Soula -  Tameghra.flac,44100,21500.0,4.421e-06,0.0,nan,898
