arm,file,geometry,ratio,offset
mp3_320,016-03-Memory-Tapes-Green-knight.flac,aac_2048,1.5000,511
mp3_320,017-13-Cafe-Del-Mar-Submariner.flac,mp3_frame_1152,1.5833,506
mp3_320,017-13-Cafe-Del-Mar-Submariner.flac,mp3_granule_576,1.8333,147
mp3_320,017-13-Cafe-Del-Mar-Submariner.flac,aac_2048,1.4390,828
mp3_320,018-04-Bag-o-wire-Resovoir.flac,mp3_frame_1152,1.6522,411
mp3_320,018-04-Bag-o-wire-Resovoir.flac,mp3_granule_576,2.0833,227
mp3_320,018-04-Bag-o-wire-Resovoir.flac,aac_2048,1.6098,503
mp3_320,019-04-Kohi-Jadu.flac,mp3_frame_1152,1.7917,117
mp3_320,019-04-Kohi-Jadu.flac,mp3_granule_576,1.7500,246
mp3_320,019-04-Kohi-Jadu.flac,aac_2048,1.5581,772
mp3_320,020-06-Bola-Tigantabame.flac,mp3_frame_1152,1.6400,290
mp3_320,020-06-Bola-Tigantabame.flac,mp3_granule_576,1.9167,278
mp3_320,020-06-Bola-Tigantabame.flac,aac_2048,1.4884,871
mp3_320,021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,mp3_frame_1152,1.6818,174
mp3_320,021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,mp3_granule_576,1.8182,23
mp3_320,021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,aac_2048,1.4878,273
mp3_320,022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,mp3_frame_1152,1.6667,159
mp3_320,022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,mp3_granule_576,2.0909,3
mp3_320,022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,aac_2048,1.5238,372
mp3_320,023-01-Yusef-Lateef-Buddy-and-lou.flac,mp3_frame_1152,1.9600,211
mp3_320,023-01-Yusef-Lateef-Buddy-and-lou.flac,mp3_granule_576,1.7500,97
mp3_320,023-01-Yusef-Lateef-Buddy-and-lou.flac,aac_2048,1.5217,520
mp3_320,024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,mp3_frame_1152,1.7826,409
mp3_320,024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,mp3_granule_576,1.9167,118
mp3_320,024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,aac_2048,1.6047,988
mp3_V0,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,mp3_frame_1152,1.6957,309
mp3_V0,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,mp3_granule_576,2.5455,229
mp3_V0,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,aac_2048,1.5366,786
mp3_V0,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,mp3_frame_1152,1.8750,352
mp3_V0,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,mp3_granule_576,1.9167,154
mp3_V0,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,aac_2048,1.5714,754
