source,arm,ratio,offset,hypothesis,lattice,temporal,stereo
johnmayer2008-08-02.DPA4023.flac16__John_Mayer_2008-08-02_t02.flac,coreaudio_128,1.3140,429,vorbis,1.0431,0.7132,18.7889
johnmayer2008-08-02.DPA4023.flac16__John_Mayer_2008-08-02_t02.flac,coreaudio_256,1.2164,554,kbd,1.0438,0.5892,7.1083
johnmayer2008-08-02.DPA4023.flac16__John_Mayer_2008-08-02_t02.flac,coreaudio_320,1.2865,780,vorbis,1.0275,0.5931,1.0000
lf1974-09-19.shnf__Track01.flac,genuine,1.2805,905,kbd,1.0340,0.3076,1.0000
lf1974-09-19.shnf__Track01.flac,coreaudio_128,1.2986,727,vorbis,1.0439,0.4661,24.7000
lf1974-09-19.shnf__Track01.flac,coreaudio_256,1.7356,960,vorbis,1.0457,0.2876,2.0000
lf1974-09-19.shnf__Track01.flac,coreaudio_320,1.3054,386,vorbis,1.0360,0.3018,1.0000
lf1974-09-19.shnf__Track02.flac,genuine,1.1829,337,kbd,1.0307,0.2728,1.0000
lf1974-09-19.shnf__Track02.flac,coreaudio_128,1.4364,960,vorbis,1.0748,0.3719,22.7083
lf1974-09-19.shnf__Track02.flac,coreaudio_256,1.6322,960,vorbis,1.0416,0.2593,1.5000
lf1974-09-19.shnf__Track02.flac,coreaudio_320,1.2317,645,vorbis,1.0395,0.2616,1.0000
localh1999-06-24-fm103.flac16__localh1999-06-24d1t01.flac,genuine,1.2393,917,vorbis,1.0286,0.5359,1.2710
localh1999-06-24-fm103.flac16__localh1999-06-24d1t01.flac,coreaudio_128,1.7158,960,vorbis,1.0518,0.6494,17.7139
localh1999-06-24-fm103.flac16__localh1999-06-24d1t01.flac,coreaudio_256,1.3457,472,vorbis,1.0324,0.7791,16.0000
localh1999-06-24-fm103.flac16__localh1999-06-24d1t01.flac,coreaudio_320,1.4000,678,kbd,1.0355,0.5015,1.8571
localh1999-06-24-fm103.flac16__localh1999-06-24d1t02.flac,genuine,1.2625,943,kbd,1.0314,0.5776,1.0000
localh1999-06-24-fm103.flac16__localh1999-06-24d1t02.flac,coreaudio_128,1.5234,960,vorbis,1.0726,0.5225,16.1333
localh1999-06-24-fm103.flac16__localh1999-06-24d1t02.flac,coreaudio_256,1.5181,23,vorbis,1.0306,0.6736,10.7014
localh1999-06-24-fm103.flac16__localh1999-06-24d1t02.flac,coreaudio_320,1.3086,610,vorbis,1.0349,0.5505,1.3333
maroon5-2004-10-21.flac16__maroon5-2004-10-21t01.flac,genuine,1.1728,49,kbd,1.0280,0.4679,1.6000
