file_id,peak_ratio,best_offset
54b703e02f82,1.1829,875
40651e1b02eb,1.2738,111
c86831dd7919,1.3095,951
a8c0df714ae9,1.2455,511
07f0da20df99,1.2638,389
f117a4b005cd,1.253,176
39870e4526a9,1.2439,662
56e95ba8996a,1.2461,511
d20a6f21525c,1.2651,338
daff48d89111,1.1976,16
03f73c994c42,1.2768,274
11a26d146b20,1.3415,244
b7a24f25bfb4,1.2073,707
be740e898c88,1.1765,517
a2648e9df632,1.2738,799
e726459a1838,1.2976,804
80670d51cba4,1.2289,11
9865589d1191,1.191,195
2ed6c3e739b9,1.2515,422
a157fcc7133f,1.1905,441
3adf5265b221,1.2471,89
e7fbccb81aa6,1.2593,480
53302099b984,1.1059,406
ec335d51601b,1.2716,486
a275cc688d67,1.1429,681
4278be980cd7,1.1932,389
9a816ae7c62d,1.3258,671
682f145141ef,1.2469,285
495b7fec1096,1.1856,608
7688b830ce79,1.1616,992
50b01fc0cdd6,1.1786,48
597babaed3f7,1.2651,197
bb6f62a53b9d,1.2071,508
1fa495322f3b,1.25,344
3dd5c7435c1d,1.1928,707
d7a33c27b428,1.241,339
00a63bab5ac1,1.2,625
c7838550a056,1.1667,897
cb9dbd4ca630,1.1071,803
aa66b0569565,1.3095,825
9fcd82a3b0d8,1.1561,962
c472fd1e5c4b,1.2326,155
5290e71d7649,1.1529,391
3537f9ed671b,1.3537,926
1a090e2681bb,1.1834,72
17b4b5660467,1.1548,2
358fe178be50,1.2169,49
580ffd21c0cb,1.1882,947
52898b116386,1.2982,602
974d5c0d33b1,1.2022,147
32ab005449f3,1.2814,458
729513dc1dd1,1.2727,399
2d9e8d7360ef,1.25,841
59fd2ad1158f,1.322,83
c8c8aa7ae320,1.1928,840
4232836bbada,1.1696,800
3ab9f79f65e1,1.2242,775
9c3ab63eb17b,1.2759,302
0d1435cce458,1.297,340
8cdacb2200fd,1.2606,712
206f85a51e16,1.2071,748
92a60c245a80,1.2,172
3638d4d47a09,1.325,126
dd1645516b82,1.2235,45
5a98a62edfde,1.2695,268
e08c7b337bac,1.2258,361
9d703aaf8748,1.2593,253
d3bdb33449c5,1.2963,144
ed95d6c9379e,1.4096,13
b7e67a14f7ab,1.3133,439
59ee01f88489,1.3609,779
5a8ed7f86721,1.2426,613
172cbd62dd84,1.2561,122
06fefc6af7ce,1.1772,34
f92e95b621aa,1.2071,170
498733bfeaa7,1.3373,325
aad4a6437313,1.2515,280
e2d212636097,1.2469,49
2e1dfcd4fc29,1.2927,852
6399c06de3d6,1.1765,246
7a255bf91aa0,1.2588,202
4c90adcda360,1.3171,966
8b0f7d6c7229,1.3095,659
7a40f55cad31,1.3049,338
bf0b6529ebab,1.2289,522
752a9fe7387e,1.1975,127
021dd4ef1566,1.3976,546
740659e9753d,1.1928,489
14c114700468,1.2638,610
cd5fa85d4da4,1.1807,159
cf724be1b543,1.2832,107
a17a988d940b,1.2317,715
8df41b3edc8d,1.2346,858
88f80f2834ba,1.1786,450
94b2ef2dc051,1.2044,580
7ac29bcd3d2b,1.3333,436
4b0dd3ca0a70,1.1977,755
8551b9d2a795,1.2289,396
538a40051051,1.3086,138
4cd228af4d53,1.2222,673
5965ac9c627e,1.2651,339
129dbb66538b,1.2899,401
775fa568c0bb,1.2169,990
6f6f1a4449da,1.1905,369
825291866283,1.2045,369
808805d2f954,1.2169,532
13b9d84a7fab,1.3373,818
0a04790ea371,1.2899,53
da3428b55d5b,1.2651,884
c88ba80d6597,1.3095,457
30d4a924fb2e,1.2353,230
8c157311ab97,1.2273,597
5e76d566fad7,1.1462,97
d4b2b7899dc0,1.2386,515
50ca425a7aa1,1.1667,856
c8f234f52d36,1.2262,890
70d9e2cbf625,1.2791,793
3d9669916a94,1.1951,362
4925ff956ac9,1.2048,999
0561400e06b1,1.2469,92
8b1e833f41e5,1.241,260
7aee4d3729ae,1.1687,298
baf5de6dce69,1.1529,151
bb9537b7510f,1.2071,935
1a82d3582e14,1.2471,262
8aeeccaa27dc,1.3125,961
9f3faa237bb7,1.2,431
7b30ca7870d1,1.3209,473
d19bd5fc7c47,1.2626,698
08ff5f884cd5,1.1628,641
7ac70cd24f22,1.2093,952
a6b93a04f9f6,1.1951,167
473e4967ebc4,1.2118,947
0acd81dae48e,1.3095,459
81fa42a17627,1.2881,977
d983cfef6467,1.3415,737
f71a2c802b6e,1.1839,612
6978bf23bdd2,1.125,293
6a7836be442b,1.2824,842
b2c2bd4dd7be,1.2222,299
11c20f0e86f7,1.2955,542
13e9630d855f,1.2637,228
5310c5d48b34,1.1955,368
54fd438e3e7a,1.2695,319
259c55cadfec,1.3182,959
13dcb75c9cc7,1.2927,272
5a4cb76afc42,1.2963,88
0e8f9326e998,1.2593,729
b7455f2016e8,1.1879,146
10545879ad4a,1.2281,723
82a22c4b624e,1.284,20
f3bc6709941d,1.1805,272
daea3a35179a,1.2143,910
5f94393e7d2a,1.1807,441
438f01e7cc67,1.3293,660
dec461c33f1e,1.1636,741
c28a86200834,1.2805,721
534432b7d622,1.3179,906
7390feecceaa,1.2364,1014
49791c93eca4,1.325,696
87b060528c16,1.2848,729
7ea26ce67d1f,1.1852,442
0869744bf763,1.2093,632
e7f9a384f2bb,1.1111,106
38e9f6545d87,1.2471,895
fa37b910f5cc,1.2941,830
b404b390f71a,1.2875,202
fd876857a493,1.1617,959
0a0c5ae0ce5c,1.2561,846
9fe22fb9abe2,1.1977,836
2bbf47cc00d0,1.3976,576
c01cd53b9516,1.321,127
41aa17c5aa13,1.3125,29
416698c00a18,1.2979,672
17880b8e0709,1.3095,703
02986488ff0d,1.2069,575
e2ff6bc7bd6d,1.2242,80
776117994b3b,1.3214,371
f8d86ff2be1b,1.2069,590
660509a39064,1.2262,272
e3682cefc0a1,1.2485,889
96a3b3fd18d5,1.314,264
2e4cd019475d,1.2857,322
ad0709029e76,1.2317,641
68bdd4b42079,1.1977,961
43410cd49458,1.2556,447
51a844c4c19a,1.3224,632
8ffc307eba0f,1.241,921
a2871358cf6d,1.2486,1001
6f502f1ce46a,1.1864,836
87554f15169e,1.3129,136
bc7edb4d7055,1.2073,935
eb369121f2ee,1.2963,321
c175e5701578,1.1463,808
839c632b66b6,1.2335,966
1f33ef55614e,1.2515,112
9f27add5eef6,1.1829,371
dc6d6f309cc9,1.3091,844
0dd79aed9176,1.3125,460
b81f8410ab0c,1.2262,591
af8a488815a2,1.2371,6
35f451e406c3,1.2892,693
a1f1a70d9fa0,1.2335,74
3b82d5db19a8,1.1429,618
8ac3853e4574,1.2638,553
904f2a5d4ad7,1.253,783
ce4c6edec873,1.1716,257
dfa2b58e7289,1.1294,1000
8261b2bde4c8,1.253,608
6ddb01f44d41,1.358,999
11f428867ed8,1.1411,901
f3f892edadff,1.1529,360
27ba454edf52,1.2254,859
502122dfdb6b,1.2717,407
9f3ef549b0a0,1.2663,168
91ba5fae76ac,1.1341,430
b7eefaf2b250,1.2326,659
1199b81ba0b5,1.1828,45
ef909ca90f0a,1.2805,199
36d2f13521d6,1.205,634
27fb70e7de67,1.3614,40
2c0b63268223,1.284,448
90f9c478ba2e,1.3,895
b93202d0f038,1.2529,905
cd415b13909b,1.3452,263
ef022f71e607,1.2143,723
32c47ab14639,1.2048,555
761f915927c9,1.2439,412
ecfb00d77cd6,1.3544,983
125ae3938794,1.2169,3
6eaa5f1d51fa,1.2716,621
5c6b1e1b27a3,1.1429,293
b65accd2e3f3,1.2024,220
8cf51cf71b60,1.2899,638
f0ce7e75dbd5,1.2216,539
c465995623ed,1.3374,307
1bd459d933a2,1.3254,947
7c6770860c54,1.2606,339
1eef07ed4a4a,1.2073,306
a392100d7103,1.2364,632
a77a25c2be4b,1.2575,802
09a37475d75c,1.1273,760
28b7678bdda8,1.3059,903
3b402b768993,1.1882,734
2a6e9834ac57,1.3252,834
a46cd6de3446,1.3049,1019
c5de84da7720,1.2346,275
dc388214f68a,1.2147,767
f2ffc17cd739,1.1839,795
86037d11aa70,1.2299,1
0d532d5bb739,1.181,265
b24e64fc548b,1.3082,723
4cdf25a084d3,1.225,946
c22dd03bbc69,1.131,574
f87f505a4b75,1.3012,605
93421abde2d1,1.1928,28
54acc9951089,1.3103,879
5522383fce7b,1.2883,936
37280e778fe4,1.4146,442
224fa57787b0,1.3086,250
c2333d3634ac,1.2262,4
5604acd16ccb,1.2768,473
3f77a27483e9,1.297,811
f3e9ded8bf41,1.2048,1005
b679bded66e2,1.3659,20
d8e01b63bc31,1.241,280
1983b30bd36a,1.1976,85
b5a1795734dd,1.3018,280
db29d29fcfb9,1.2455,245
664ca4f8ac8b,1.1977,321
5f475714168a,1.2727,53
758977679b11,1.3455,943
6d3442ab65c3,1.3253,80
913926c648c7,1.2346,613
e67016df1635,1.2771,1023
d248dbc2d8c1,1.2414,376
c2d586448509,1.2073,309
10b8218ed802,1.2262,309
aaf87448f776,1.2934,19
3d76e23698f9,1.2606,953
2260582407e6,1.2,757
dc081bed9032,1.1585,994
a72c3081cd51,1.2781,515
3b8e4559c7d7,1.1744,128
8947470bc5aa,1.1905,786
03cd36b62c76,1.2317,87
27bfe85d7128,1.2976,743
44e38251b865,1.1636,225
0b3210d77bf2,1.2262,192
d8519473edb6,1.2544,654
34611c9b3e0f,1.1975,502
5d48bd748aa0,1.1895,933
36ea278b9376,1.2044,621
c27c78337995,1.2375,214
db32483c2692,1.1928,542
154d1382f38a,1.1928,605
d48018bd2cce,1.1905,559
5a0488f42d1e,1.25,894
3b70d76b90a6,1.2398,509
a634bb156c4c,1.2381,800
290ed6d26907,1.2118,56
7705c637df5f,1.297,41
8968b8be26ac,1.275,1023
2b5a845b648d,1.2795,118
8378a729dfa4,1.2,441
34e5fb86b39f,1.2381,96
0d406f915e58,1.2209,439
d4a654606c44,1.2169,450
04ed5f82b04c,1.297,843
6ff5206d5d18,1.4,637
ed0cc20cc84e,1.1737,660
96f9f4e958d4,1.2343,219
2a3b3650e44a,1.2544,411
0bd4cab91ff5,1.3171,279
a8e8f2ce912c,1.2857,115
27e1379ff87c,1.25,306
7d8a517e30aa,1.2651,473
feacc77fc6a1,1.2281,50
a1b00b5f8e42,1.1839,720
7c3d237cb601,1.2093,13
26b74b816a57,1.2459,928
3368c6e4b6e5,1.2118,245
0c936e7023c3,1.3661,315
f45e7f02f042,1.2606,359
1f4acdca689b,1.2099,787
84f3b0b1339f,1.2948,263
6e1c89e179e4,1.3254,539
320cf1fee3c1,1.1786,369
44b63088e941,1.1494,909
19f1c2b83f1e,1.2824,294
e23090a4afe8,1.1413,714
0c018c536f77,1.2273,250
a613cb3b3983,1.2071,899
0bdfa7508665,1.2169,200
d586df5c9d78,1.2048,61
19a50e0a8edf,1.1928,953
7783abe1ecfc,1.1807,290
592570b81370,1.1515,732
54a452367006,1.2848,79
db8b21507009,1.241,842
fb0f61c4dd87,1.1829,852
744916163dbe,1.2588,258
26ce8efc70e6,1.1834,284
dad261f8aee8,1.2326,445
ef422df3bd4c,1.2561,77
e9559bd053d0,1.1932,959
ca5b8f685d24,1.3293,953
5be99ac5960c,1.2927,407
1bfb621fd4b8,1.2184,374
7467319a41e5,1.2695,107
e0653aebb3d5,1.2364,629
de14c06ac21d,1.25,700
ff374054b363,1.3295,88
bba776e49b4a,1.1529,165
f7a9484c3cf6,1.2695,381
3d68ba9c52ee,1.297,666
ffc1a63cadac,1.1111,293
8c609e898991,1.2469,960
75a3fa3f5eef,1.2771,646
49e63fcf4b19,1.4724,302
2f0bb0e1d880,1.284,411
5705151c7f2d,1.1779,306
d64c5fb37fba,1.2717,369
a550b65008d9,1.25,347
465b079fd485,1.1928,668
31c7fc6e3184,1.3133,423
3606a0b8f621,1.1829,457
1c18b574836b,1.2963,271
6fdbbe7c954e,1.3054,745
3ad1c03046c0,1.2663,685
e0965afa47de,1.2353,760
14b851cd4b63,1.2892,280
5621b791900e,1.2,702
b2f247e8f045,1.3171,637
ffa33212278e,1.1585,94
b91dc5da3c01,1.3,796
2060ae0057d1,1.3855,710
609fb53947f6,1.1462,206
1ae5b27b2e54,1.1647,60
cea9c05b5780,1.3293,675
2bf185720579,1.4074,621
90149aebe888,1.2575,406
5d025af404c0,1.2143,478
17a1d83dac88,1.3133,794
9fb4d8b78ef8,1.253,545
8cb8b03711c4,1.2706,316
fd2969e1dace,1.2727,266
48c24c70af06,1.1807,80
f2dcf3b2dc93,1.1566,676
e4320a0a5b3f,1.4743,72
88f749209726,1.2093,640
265a0775db8e,1.1461,619
4be192bfc1d3,1.2761,751
dbf045af5add,1.1538,919
755c80be5104,1.2364,354
779f6b02cfa2,1.2262,983
9d97eb869e6f,1.2848,682
113074948a65,1.2738,113
519e6daf5b4b,1.2262,848
66b892fbe5a6,1.3373,868
