population,track,sample_rate,cutoff,energy_ratio,cutoff_std,residual_floor_db,container_kbps
genuine_wild,BAC2026-08-12.RODENT5-ZOOMH6-FLAC8__107. Burning Down The House.flac,96000,48000.0,1.504e-05,0.0,nan,1348
genuine_wild,BG2026-08-09__BG2026-08-09t01.flac,44100,22050.0,7.253e-06,0.0,nan,426
genuine_wild,BG2026-08-09__BG2026-08-09t02.flac,44100,22050.0,5.640e-06,0.0,nan,396
genuine_wild,OBF2026-08-06.ca-14.flac__01-Just Around The Corner .flac,48000,24000.0,4.448e-08,0.0,nan,650
genuine_wild,OBF2026-08-06.ca-14.flac__02-If You See Their Lips Moving.flac,48000,24000.0,4.548e-08,0.0,nan,644
genuine_wild,OBF2026-08-07.ca-14.flac__01-Just Around The Corner .flac,48000,23250.0,8.846e-07,353.6,nan,773
genuine_wild,OBF2026-08-07.ca-14.flac__02-The Way We Rise.flac,48000,24000.0,9.995e-07,0.0,nan,752
genuine_wild,RFTS2026-08-08.Beverly__01 Althea.flac,44100,22050.0,2.036e-06,0.0,nan,756
genuine_wild,RFTS2026-08-08.Beverly__02 Tennessee Jed.flac,44100,22050.0,2.741e-06,0.0,nan,784
genuine_wild,SRB2026-08-08__01. When The Circus Comes To Time (Los Lobos).flac,44100,22050.0,2.540e-07,0.0,nan,726
genuine_wild,SRB2026-08-08__01.02. Ramble On Rose.flac,44100,21250.0,2.743e-06,377.1,nan,812
genuine_wild,TST2026-08-08.2__02 Hotel Columbo.flac,48000,24000.0,5.552e-06,0.0,nan,1690
genuine_wild,TST2026-08-08.2__03 Flight.flac,48000,24000.0,5.967e-06,0.0,nan,1693
genuine_wild,ToddSnider2013-05-09.KM-140.OldNeumanntapr.flac1644__ToddSnider2013-05-09set1t01.flac,44100,22050.0,8.381e-08,0.0,nan,1010
genuine_wild,ToddSnider2013-05-09.KM-140.OldNeumanntapr.flac1644__ToddSnider2013-05-09set1t02.flac,44100,22050.0,1.028e-07,0.0,nan,769
genuine_wild,ToddSnider2013-05-09.KM-140.OldNeumanntapr.flac1644__ToddSnider2013-05-09set1t03.flac,44100,22050.0,3.608e-07,0.0,nan,736
genuine_wild,ToddSnider2013-05-09.KM-140.OldNeumanntapr.flac1644__ToddSnider2013-05-09set1t04.flac,44100,22050.0,1.327e-06,0.0,nan,735
