arm,file,max_run,mean_run,max_run_rel,stereo_ratio,mono_gated
mp3_320,031-07-Shkoon-Just-Emma-Id.flac,4.0000,10.0000,1.0000,0.8205,False
mp3_320,032-05-2kilos-more-Cache-feu.flac,35.5000,7.2929,1.0000,0.3329,False
mp3_320,033-01-Daylight-Rising.flac,41.0000,8.2431,6.0000,0.1761,False
mp3_320,034-09-Snow-Ghosts-Bowline.flac,1.0000,12.3810,1.0000,0.3258,False
mp3_320,035-16-Slow-Air-In-Dropped-D.flac,7.0000,2.4491,0.0000,0.2942,False
mp3_320,036-08-Nicolas-Comment-Amaurose.flac,2.0000,8.5000,5.0000,0.0777,False
mp3_320,037-02-Super-Cayor-De-Dakar-Emboutaieillage.flac,4.0000,10.5000,1.0000,0.0294,False
mp3_320,038-11-Red-Hot-Chili-Peppers-This-velvet-glove.flac,0.0000,0.0000,1.0000,0.1146,False
mp3_320,039-13-Kat-Onoma-Change-blues.flac,66.0000,4.0000,2.0000,0.2866,False
mp3_V0,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,nan,nan,nan,0.0000,True
mp3_V0,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,2.0000,14.1000,3.5000,0.7602,False
mp3_V0,002-03-Hraach-Let-it-go.flac,6.0000,12.5189,2.0000,0.2819,False
mp3_V0,003-01-Thor-Dari-lullaby.flac,2.0000,2.9894,2.0000,0.3003,False
mp3_V0,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,2.0000,3.0495,9.0000,0.6790,False
mp3_V0,005-17-Los-Seven-Del-Swing-Celoso.flac,22.5000,14.9412,6.0000,0.0838,False
mp3_V0,006-09-Mahmoud-Ahmed-Tezeta.flac,nan,nan,nan,0.0000,True
mp3_V0,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,1.0000,4.1230,34.5000,0.2782,False
mp3_V0,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,1.0000,23.3068,5.0000,0.3199,False
mp3_V0,009-03-Ilya-Beshevli-To-solitude.flac,43.0000,3.7500,0.0000,1.3321,False
mp3_V0,010-06-Jon-Hassell-These-times.flac,12.0000,1.2895,0.0000,3.0092,False
mp3_V0,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,3.0000,1.0000,0.0000,1.1632,False
mp3_V0,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,2.0000,11.0000,32.0000,0.6917,False
mp3_V0,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,0.0000,3.0000,2.0000,0.0001,False
mp3_V0,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,nan,nan,nan,0.0000,True
mp3_V0,015-08-Jos-Gonz-lez-Vissel.flac,5.0000,4.2892,1.0000,0.1370,False
mp3_V0,016-03-Memory-Tapes-Green-knight.flac,4.0000,6.0516,1.0000,1.0855,False
mp3_V0,017-13-Cafe-Del-Mar-Submariner.flac,2.0000,2.3333,8.0000,0.4791,False
mp3_V0,018-04-Bag-o-wire-Resovoir.flac,nan,nan,nan,0.0000,True
mp3_V0,019-04-Kohi-Jadu.flac,12.0000,10.7634,2.0000,0.6358,False
mp3_V0,020-06-Bola-Tigantabame.flac,19.0000,11.0000,23.0000,0.0550,False
mp3_V0,021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,1.0000,8.7981,15.0000,0.6826,False
