file,population,verdict,score,cutoff,families,breakdown
074-09-Koki-Nakano-Lift.flac,authentic,AUTHENTIC,0,22050.0,,"{""Rule8NyquistException"": -50, ""Rule1MP3Bitrate"": 0, ""Rule2Cutoff"": 0, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule12MLClassifier"": 0}"
077-01-Jaga-Jazzist-All-i-know-is-tonight.flac,authentic,AUTHENTIC,0,22050.0,,"{""Rule8NyquistException"": -50, ""Rule1MP3Bitrate"": 0, ""Rule2Cutoff"": 0, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule12MLClassifier"": 0}"
000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,mp3_320,AUTHENTIC,0,20250,temporal,"{""Rule8NyquistException"": 0, ""Rule1MP3Bitrate"": 0, ""Rule2Cutoff"": 0, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule12MLClassifier"": 0}"
003-01-Thor-Dari-lullaby.flac,mp3_320,FAKE_CERTAIN,80,20250,cnn|spectral|stereo|temporal,"{""Rule8NyquistException"": 0, ""Rule1MP3Bitrate"": 50, ""Rule2Cutoff"": 0, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule7SilenceAnalysis"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule10Consistency"": 0, ""Rule12MLClassifier"": 30}"
006-09-Mahmoud-Ahmed-Tezeta.flac,mp3_320,AUTHENTIC,0,20250,temporal,"{""Rule8NyquistException"": 0, ""Rule1MP3Bitrate"": 0, ""Rule2Cutoff"": 0, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule12MLClassifier"": 0}"
009-03-Ilya-Beshevli-To-solitude.flac,mp3_320,AUTHENTIC,0,22050.0,stereo|temporal,"{""Rule8NyquistException"": -50, ""Rule1MP3Bitrate"": 0, ""Rule2Cutoff"": 0, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule12MLClassifier"": 0}"
012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,mp3_320,FAKE_CERTAIN,81,19750,cnn|spectral|stereo,"{""Rule8NyquistException"": 0, ""Rule1MP3Bitrate"": 50, ""Rule2Cutoff"": 1, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule7SilenceAnalysis"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule10Consistency"": 0, ""Rule12MLClassifier"": 30}"
015-08-Jos-Gonz-lez-Vissel.flac,mp3_320,AUTHENTIC,0,20250,stereo|temporal,"{""Rule8NyquistException"": 0, ""Rule1MP3Bitrate"": 0, ""Rule2Cutoff"": 0, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule12MLClassifier"": 0}"
018-04-Bag-o-wire-Resovoir.flac,mp3_320,AUTHENTIC,10,20000,temporal,"{""Rule8NyquistException"": 0, ""Rule1MP3Bitrate"": 0, ""Rule2Cutoff"": 0, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule12MLClassifier"": 10}"
021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,mp3_320,FAKE_CERTAIN,81,19750,cnn|spectral|stereo,"{""Rule8NyquistException"": 0, ""Rule1MP3Bitrate"": 50, ""Rule2Cutoff"": 1, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule7SilenceAnalysis"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule10Consistency"": 0, ""Rule12MLClassifier"": 30}"
024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,mp3_320,AUTHENTIC,23,20250,cnn|stereo|temporal,"{""Rule8NyquistException"": 0, ""Rule1MP3Bitrate"": 0, ""Rule2Cutoff"": 0, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule12MLClassifier"": 23}"
027-01-Dimlite-Kitty-Cradle-Fog.flac,mp3_320,FAKE_CERTAIN,80,20250,cnn|spectral|stereo,"{""Rule8NyquistException"": 0, ""Rule1MP3Bitrate"": 50, ""Rule2Cutoff"": 0, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule7SilenceAnalysis"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule10Consistency"": 0, ""Rule12MLClassifier"": 30}"
030-06-S-bastien-Tellier-Benny.flac,mp3_320,FAKE_CERTAIN,80,20250,cnn|spectral|stereo|temporal,"{""Rule8NyquistException"": 0, ""Rule1MP3Bitrate"": 50, ""Rule2Cutoff"": 0, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule7SilenceAnalysis"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule10Consistency"": 0, ""Rule12MLClassifier"": 30}"
