orig_idx,kind,is_transcode,src_rolloff,model_fp,is_stereo,side_mid_ratio,lr_corr,ro_mid,ro_side,side_to_mid_rolloff,holes_inband,flatness_inband,side_flatness_inband,terrace_peakfrac,preecho_pct,aliasing_corr,mp3_pattern
21,mp3_128,1,4272.1,1,1,0.237032,0.6185,4586.6,4737.3,1.0329,0.50237,0.011313,0.025613,0.12796,100.0,0.0899,0
21,mp3_320,1,4272.1,1,1,0.237242,0.6182,4715.8,5706.3,1.21,0.52535,0.010434,0.02249,0.11982,100.0,0.0882,0
21,mp3_v0,1,4272.1,1,1,0.237264,0.6182,4586.6,5318.7,1.1596,0.51185,0.010958,0.024172,0.11848,100.0,0.0983,0
14,authentic,0,3936.4,1,0,0.0,1.0,4522.0,0.0,0.0,0.0,0.320991,0.999999,0.17308,0.0,0.0618,0
14,mp3_128,1,3936.4,1,0,0.0,1.0,4522.0,0.0,0.0,0.0,0.321377,0.999999,0.17308,0.0,0.0738,0
14,mp3_320,1,3936.4,1,0,0.0,1.0,4522.0,0.0,0.0,0.0,0.320995,0.999999,0.17308,0.0,0.0619,0
14,mp3_v0,1,3936.4,1,0,0.0,1.0,4522.0,0.0,0.0,0.0,0.321045,0.999999,0.17308,0.0,0.0729,0
15,authentic,0,3600.6,1,1,0.726112,0.1595,1894.9,1808.8,0.9545,0.10465,0.08465,0.077588,0.13953,66.67,0.1656,0
15,mp3_128,1,3600.6,1,1,0.726421,0.1593,1787.3,1765.7,0.988,0.06173,0.110009,0.103014,0.14815,100.0,0.2205,0
15,mp3_320,1,3600.6,1,1,0.726104,0.1595,1873.4,1787.3,0.954,0.09412,0.088523,0.081853,0.14118,66.67,0.1674,0
15,mp3_v0,1,3600.6,1,1,0.726178,0.1594,1787.3,1765.7,0.988,0.06173,0.108498,0.100616,0.14815,66.67,0.2609,0
18,authentic,0,2470.7,1,0,0.0,1.0,2519.4,0.0,0.0,0.0,0.111972,0.999997,0.15652,63.46,0.15,0
18,mp3_128,1,2470.7,1,0,0.0,1.0,2540.9,0.0,0.0,0.0,0.109683,0.999997,0.15517,60.78,0.1616,0
