file,population,offset_samples,offset_s,window_s,verdict,score,cutoff_hz,families,slice_exact
TRVORB_04___Wolf_Drawn.flac,positive,576,0.0131,60.0,FAKE_CERTAIN,55,22050.0,mdct|temporal,yes
TRVORB_04___Wolf_Drawn.flac,positive,720,0.0163,60.0,FAKE_CERTAIN,55,22050.0,mdct|temporal,yes
TRVORB_04___Wolf_Drawn.flac,positive,864,0.0196,60.0,FAKE_CERTAIN,55,22050.0,mdct|temporal,yes
TRVORB_04___Wolf_Drawn.flac,positive,1008,0.0229,60.0,FAKE_CERTAIN,55,22050.0,mdct|temporal,yes
TRVORB_04___Wolf_Drawn.flac,positive,1152,0.0261,60.0,FAKE_CERTAIN,55,22050.0,mdct|temporal,yes
01 - Eve.flac,lawful,0,0.0,60.0,AUTHENTIC,0,22050.0,,yes
01 - Eve.flac,lawful,144,0.0033,60.0,AUTHENTIC,0,22050.0,,yes
01 - Eve.flac,lawful,288,0.0065,60.0,AUTHENTIC,0,22050.0,,yes
01 - Eve.flac,lawful,432,0.0098,60.0,AUTHENTIC,0,22050.0,,yes
01 - Eve.flac,lawful,576,0.0131,60.0,AUTHENTIC,0,22050.0,,yes
01 - Eve.flac,lawful,720,0.0163,60.0,AUTHENTIC,0,22050.0,,yes
01 - Eve.flac,lawful,864,0.0196,60.0,AUTHENTIC,0,22050.0,,yes
01 - Eve.flac,lawful,1008,0.0229,60.0,AUTHENTIC,0,22050.0,,yes
01 - Eve.flac,lawful,1152,0.0261,60.0,AUTHENTIC,0,22050.0,,yes
02 - Soon It Will Be Cold Enough To Build Fires.flac,lawful,0,0.0,60.0,AUTHENTIC,0,22050.0,temporal,yes
02 - Soon It Will Be Cold Enough To Build Fires.flac,lawful,144,0.0033,60.0,AUTHENTIC,0,22050.0,temporal,yes
02 - Soon It Will Be Cold Enough To Build Fires.flac,lawful,288,0.0065,60.0,AUTHENTIC,0,22050.0,temporal,yes
02 - Soon It Will Be Cold Enough To Build Fires.flac,lawful,432,0.0098,60.0,AUTHENTIC,0,22050.0,temporal,yes
02 - Soon It Will Be Cold Enough To Build Fires.flac,lawful,576,0.0131,60.0,AUTHENTIC,0,22050.0,temporal,yes
02 - Soon It Will Be Cold Enough To Build Fires.flac,lawful,720,0.0163,60.0,AUTHENTIC,0,22050.0,temporal,yes
02 - Soon It Will Be Cold Enough To Build Fires.flac,lawful,864,0.0196,60.0,AUTHENTIC,0,22050.0,temporal,yes
02 - Soon It Will Be Cold Enough To Build Fires.flac,lawful,1008,0.0229,60.0,AUTHENTIC,0,22050.0,temporal,yes
02 - Soon It Will Be Cold Enough To Build Fires.flac,lawful,1152,0.0261,60.0,AUTHENTIC,0,22050.0,temporal,yes
03 - First Snow.flac,lawful,0,0.0,60.0,AUTHENTIC,0,22050.0,,yes
03 - First Snow.flac,lawful,144,0.0033,60.0,AUTHENTIC,0,22050.0,,yes
03 - First Snow.flac,lawful,288,0.0065,60.0,AUTHENTIC,0,22050.0,,yes
03 - First Snow.flac,lawful,432,0.0098,60.0,AUTHENTIC,0,22050.0,,yes
03 - First Snow.flac,lawful,576,0.0131,60.0,AUTHENTIC,0,22050.0,,yes
03 - First Snow.flac,lawful,720,0.0163,60.0,AUTHENTIC,0,22050.0,,yes
03 - First Snow.flac,lawful,864,0.0196,60.0,AUTHENTIC,0,22050.0,,yes
03 - First Snow.flac,lawful,1008,0.0229,60.0,AUTHENTIC,0,22050.0,,yes
03 - First Snow.flac,lawful,1152,0.0261,60.0,AUTHENTIC,0,22050.0,,yes
04 - Wolf Drawn.flac,lawful,0,0.0,60.0,AUTHENTIC,0,22050.0,temporal,yes
04 - Wolf Drawn.flac,lawful,144,0.0033,60.0,AUTHENTIC,0,22050.0,temporal,yes
04 - Wolf Drawn.flac,lawful,288,0.0065,60.0,AUTHENTIC,0,22050.0,temporal,yes
04 - Wolf Drawn.flac,lawful,432,0.0098,60.0,AUTHENTIC,0,22050.0,temporal,yes
04 - Wolf Drawn.flac,lawful,576,0.0131,60.0,AUTHENTIC,0,22050.0,temporal,yes
04 - Wolf Drawn.flac,lawful,720,0.0163,60.0,AUTHENTIC,0,22050.0,temporal,yes
04 - Wolf Drawn.flac,lawful,864,0.0196,60.0,AUTHENTIC,0,22050.0,temporal,yes
04 - Wolf Drawn.flac,lawful,1008,0.0229,60.0,AUTHENTIC,0,22050.0,temporal,yes
04 - Wolf Drawn.flac,lawful,1152,0.0261,60.0,AUTHENTIC,0,22050.0,temporal,yes
