idx,kind,codec,src_bucket,verdict11,verdict12
48,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
48,transcode,mp3_128,7-10k,WARNING,SUSPICIOUS
48,transcode,mp3_320,7-10k,AUTHENTIC,AUTHENTIC
48,transcode,mp3_v0,7-10k,AUTHENTIC,AUTHENTIC
49,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
49,transcode,mp3_128,7-10k,WARNING,SUSPICIOUS
49,transcode,mp3_320,7-10k,AUTHENTIC,AUTHENTIC
49,transcode,mp3_v0,7-10k,AUTHENTIC,AUTHENTIC
54,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
54,transcode,mp3_128,7-10k,WARNING,SUSPICIOUS
54,transcode,mp3_320,7-10k,AUTHENTIC,WARNING
54,transcode,mp3_v0,7-10k,AUTHENTIC,WARNING
55,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
55,transcode,mp3_128,7-10k,WARNING,WARNING
55,transcode,mp3_320,7-10k,FAKE_CERTAIN,FAKE_CERTAIN
55,transcode,mp3_v0,7-10k,AUTHENTIC,AUTHENTIC
42,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
42,transcode,mp3_128,4-7k,WARNING,WARNING
42,transcode,mp3_320,4-7k,AUTHENTIC,AUTHENTIC
42,transcode,mp3_v0,4-7k,AUTHENTIC,AUTHENTIC
43,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
43,transcode,mp3_128,4-7k,FAKE_CERTAIN,FAKE_CERTAIN
43,transcode,mp3_320,4-7k,AUTHENTIC,AUTHENTIC
43,transcode,mp3_v0,4-7k,AUTHENTIC,AUTHENTIC
58,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
58,transcode,mp3_128,7-10k,WARNING,SUSPICIOUS
58,transcode,mp3_320,7-10k,FAKE_CERTAIN,FAKE_CERTAIN
58,transcode,mp3_v0,7-10k,AUTHENTIC,AUTHENTIC
59,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
59,transcode,mp3_128,7-10k,WARNING,SUSPICIOUS
59,transcode,mp3_320,7-10k,AUTHENTIC,AUTHENTIC
59,transcode,mp3_v0,7-10k,AUTHENTIC,AUTHENTIC
52,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
52,transcode,mp3_128,7-10k,WARNING,SUSPICIOUS
52,transcode,mp3_320,7-10k,FAKE_CERTAIN,FAKE_CERTAIN
52,transcode,mp3_v0,7-10k,AUTHENTIC,AUTHENTIC
53,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
53,transcode,mp3_128,7-10k,AUTHENTIC,WARNING
53,transcode,mp3_320,7-10k,FAKE_CERTAIN,FAKE_CERTAIN
53,transcode,mp3_v0,7-10k,AUTHENTIC,AUTHENTIC
56,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
56,transcode,mp3_128,7-10k,WARNING,SUSPICIOUS
56,transcode,mp3_320,7-10k,FAKE_CERTAIN,FAKE_CERTAIN
56,transcode,mp3_v0,7-10k,AUTHENTIC,AUTHENTIC
57,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
57,transcode,mp3_128,7-10k,WARNING,SUSPICIOUS
57,transcode,mp3_320,7-10k,AUTHENTIC,AUTHENTIC
57,transcode,mp3_v0,7-10k,AUTHENTIC,AUTHENTIC
62,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
62,transcode,mp3_128,7-10k,WARNING,SUSPICIOUS
62,transcode,mp3_320,7-10k,AUTHENTIC,AUTHENTIC
62,transcode,mp3_v0,7-10k,AUTHENTIC,AUTHENTIC
63,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
63,transcode,mp3_128,7-10k,WARNING,WARNING
63,transcode,mp3_320,7-10k,AUTHENTIC,AUTHENTIC
63,transcode,mp3_v0,7-10k,AUTHENTIC,AUTHENTIC
68,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
68,transcode,mp3_128,7-10k,FAKE_CERTAIN,FAKE_CERTAIN
68,transcode,mp3_320,7-10k,FAKE_CERTAIN,FAKE_CERTAIN
68,transcode,mp3_v0,7-10k,AUTHENTIC,AUTHENTIC
69,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
69,transcode,mp3_128,7-10k,FAKE_CERTAIN,FAKE_CERTAIN
69,transcode,mp3_320,7-10k,FAKE_CERTAIN,FAKE_CERTAIN
69,transcode,mp3_v0,7-10k,AUTHENTIC,AUTHENTIC
64,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
64,transcode,mp3_128,7-10k,WARNING,SUSPICIOUS
64,transcode,mp3_320,7-10k,AUTHENTIC,AUTHENTIC
64,transcode,mp3_v0,7-10k,AUTHENTIC,AUTHENTIC
65,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
65,transcode,mp3_128,7-10k,WARNING,FAKE_CERTAIN
65,transcode,mp3_320,7-10k,AUTHENTIC,AUTHENTIC
65,transcode,mp3_v0,7-10k,AUTHENTIC,AUTHENTIC
60,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
60,transcode,mp3_128,7-10k,WARNING,SUSPICIOUS
60,transcode,mp3_320,7-10k,AUTHENTIC,AUTHENTIC
60,transcode,mp3_v0,7-10k,AUTHENTIC,AUTHENTIC
61,authentic,authentic,7-10k,FAKE_CERTAIN,FAKE_CERTAIN
61,transcode,mp3_128,7-10k,WARNING,SUSPICIOUS
61,transcode,mp3_320,7-10k,AUTHENTIC,AUTHENTIC
61,transcode,mp3_v0,7-10k,AUTHENTIC,AUTHENTIC
72,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
72,transcode,mp3_128,10-14k,WARNING,SUSPICIOUS
72,transcode,mp3_320,10-14k,FAKE_CERTAIN,FAKE_CERTAIN
72,transcode,mp3_v0,10-14k,AUTHENTIC,AUTHENTIC
73,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
73,transcode,mp3_128,10-14k,WARNING,SUSPICIOUS
73,transcode,mp3_320,10-14k,AUTHENTIC,AUTHENTIC
73,transcode,mp3_v0,10-14k,FAKE_CERTAIN,FAKE_CERTAIN
70,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
70,transcode,mp3_128,7-10k,WARNING,SUSPICIOUS
70,transcode,mp3_320,7-10k,AUTHENTIC,AUTHENTIC
70,transcode,mp3_v0,7-10k,AUTHENTIC,AUTHENTIC
71,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
71,transcode,mp3_128,7-10k,WARNING,SUSPICIOUS
71,transcode,mp3_320,7-10k,AUTHENTIC,AUTHENTIC
71,transcode,mp3_v0,7-10k,AUTHENTIC,AUTHENTIC
74,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
74,transcode,mp3_128,10-14k,AUTHENTIC,WARNING
74,transcode,mp3_320,10-14k,AUTHENTIC,AUTHENTIC
74,transcode,mp3_v0,10-14k,AUTHENTIC,AUTHENTIC
75,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
75,transcode,mp3_128,10-14k,WARNING,SUSPICIOUS
75,transcode,mp3_320,10-14k,FAKE_CERTAIN,FAKE_CERTAIN
75,transcode,mp3_v0,10-14k,AUTHENTIC,AUTHENTIC
66,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
66,transcode,mp3_128,7-10k,WARNING,SUSPICIOUS
66,transcode,mp3_320,7-10k,AUTHENTIC,AUTHENTIC
66,transcode,mp3_v0,7-10k,AUTHENTIC,AUTHENTIC
67,authentic,authentic,7-10k,FAKE_CERTAIN,FAKE_CERTAIN
67,transcode,mp3_128,7-10k,FAKE_CERTAIN,FAKE_CERTAIN
67,transcode,mp3_320,7-10k,FAKE_CERTAIN,FAKE_CERTAIN
67,transcode,mp3_v0,7-10k,FAKE_CERTAIN,FAKE_CERTAIN
80,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
80,transcode,mp3_128,10-14k,WARNING,SUSPICIOUS
80,transcode,mp3_320,10-14k,AUTHENTIC,AUTHENTIC
80,transcode,mp3_v0,10-14k,AUTHENTIC,AUTHENTIC
81,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
81,transcode,mp3_128,10-14k,WARNING,SUSPICIOUS
81,transcode,mp3_320,10-14k,AUTHENTIC,AUTHENTIC
81,transcode,mp3_v0,10-14k,AUTHENTIC,AUTHENTIC
82,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
82,transcode,mp3_128,10-14k,AUTHENTIC,WARNING
82,transcode,mp3_320,10-14k,AUTHENTIC,AUTHENTIC
82,transcode,mp3_v0,10-14k,AUTHENTIC,AUTHENTIC
83,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
83,transcode,mp3_128,10-14k,WARNING,SUSPICIOUS
83,transcode,mp3_320,10-14k,FAKE_CERTAIN,FAKE_CERTAIN
83,transcode,mp3_v0,10-14k,AUTHENTIC,AUTHENTIC
