slug,label,codec,window,peak_ratio,best_offset
027-01-Dimlite-Kitty-Cradle-Fog,1,aac_ff128,kbd,30.2032,1020
028-04-Lisu-Yue-phue-alcool-de-ma-s,1,aac_ff128,kbd,13.0978,1020
029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul,1,aac_ff128,kbd,17.7357,1020
030-06-S-bastien-Tellier-Benny,1,aac_ff128,kbd,36.0214,1020
031-07-Shkoon-Just-Emma-Id,1,aac_ff128,kbd,7.3258,1020
032-05-2kilos-more-Cache-feu,1,aac_ff128,kbd,33.9781,1020
033-01-Daylight-Rising,1,aac_ff128,kbd,25.1362,1020
034-09-Snow-Ghosts-Bowline,1,aac_ff128,kbd,21.7158,1020
035-16-Slow-Air-In-Dropped-D,1,aac_ff128,kbd,5.2263,1020
036-08-Nicolas-Comment-Amaurose,1,aac_ff128,kbd,23.7447,1020
037-02-Super-Cayor-De-Dakar-Emboutaieillage,1,aac_ff128,kbd,24.0,1020
038-11-Red-Hot-Chili-Peppers-This-velvet-glove,1,aac_ff128,kbd,32.2312,1020
039-13-Kat-Onoma-Change-blues,1,aac_ff128,kbd,23.9204,1020
040-11-Xploding-Plastix-Far-flung-tonic,1,aac_ff128,kbd,32.2188,1020
041-07-Mondkopf-Summer-afternoon-on-the-carribean-se,1,aac_ff128,kbd,1.3364,467
042-04-Keletigui-et-ses-Tambourinis-Nadia,1,aac_ff128,kbd,35.8864,1020
043-03-Massive-Attack-Inertia-Creeps-Manic-Street-Pr,1,aac_ff128,kbd,23.5377,1020
044-02-Various-Artists-Ka-mea-mea,1,aac_ff128,kbd,11.1078,1020
045-08-DJ-Katapila-Trotro-instrumental,1,aac_ff128,kbd,20.3111,1020
046-04-Clelia-Felix-Shine-so-bright,1,aac_ff128,kbd,12.2984,1020
047-03-Lemma-Souad-Asla-Maachouk-Nbi,1,aac_ff128,kbd,17.1005,1020
048-08-Gabriel-Romero-La-Piragua,1,aac_ff128,kbd,25.5149,1020
