path_hash,source,ratio_max,cutoff,admitted
32aeed7e2018ee88,library,1.2544,22050.0,1
32b358ebd4092822,library,1.2023,22050.0,1
32df206a333a27d1,library,1.2472,22050.0,1
333bcc1f2356faa5,library,1.2658,22050.0,1
336e23b2162ddec7,library,1.3012,22050.0,1
336e79ded13ed08f,library,1.1856,22050.0,1
337e2c5fa2869590,library,1.4268,22050.0,1
346ea29cdabd0000,library,1.3136,22050.0,1
34810d01d0593459,library,1.3252,21750.0,1
34a4103f083d1012,library,1.2692,21250.0,1
34e5fb86b39f3318,library,1.2530,20500.0,1
36064b4de3865407,library,1.2375,22050.0,1
361b81ea82062996,library,1.2118,22050.0,1
3620fedb0a91ad64,library,1.2439,22050.0,1
3623ab5fc225dee7,library,1.2857,17500.0,0
3740690ea728c1ad,library,1.2532,21750.0,1
374f4afa2ba377f5,library,1.3293,22050.0,1
37919483bf0c6c0d,library,1.2907,22050.0,1
384b4764229af0f4,library,1.2422,22050.0,1
390e06d57e0d541b,library,1.3295,22050.0,1
39dfe78afe0ba10c,library,1.2147,22050.0,1
3a70e62834003af8,library,1.2857,22050.0,1
3a7b3d20201b71b3,library,1.2025,22050.0,1
3a866365bb664ad1,library,1.2655,19250.0,1
3ab9a1ba15db77ba,library,1.3520,21500.0,1
3ae6eedb8a844cc5,library,1.2278,22050.0,1
3afdff05d1a4d88f,library,1.2118,20750.0,1
3b8e4559c7d7b385,library,1.2706,21750.0,1
3bdbbe33d6a2f574,library,1.3951,22050.0,1
3c590ef82a9dc901,library,1.3006,20250.0,1
3c9e2fc18e951bd3,library,1.2683,22050.0,1
3cb6bc0566147282,library,1.2453,22050.0,1
3cc22c5ff32d9a6d,library,1.2317,22050.0,1
3db3c70ec24282ce,library,1.2955,22050.0,1
3dbc9db3a10cd183,library,1.2292,21500.0,1
3ddb0db2bf74b74a,library,1.3333,22050.0,1
3def384cc63a14c7,library,1.2761,21000.0,1
3e1d6e00ead1e6e8,library,1.2611,21750.0,1
3e1f0c27146cbf1d,library,1.2500,22050.0,1
3e73e4ac4f6bea76,library,1.2857,22050.0,1
3e96b8c52f304514,library,1.3413,22050.0,1
3ed887afebd55581,library,1.2911,21500.0,1
3f230715e40b0f39,library,1.2716,22050.0,1
3f3331000a4e86ef,library,1.2439,16750.0,0
3f61d7a51f79ff66,library,1.2561,22050.0,1
407d4f269e282048,library,1.2299,22050.0,1
40c619436eb30626,library,1.3292,20750.0,1
410b7950376fe298,library,1.3913,24000.0,1
410c79301e2c9f09,library,1.3152,21000.0,1
4308ba7a8abe0c75,library,1.3038,22050.0,1
43384705377a2458,library,1.3735,22050.0,1
439014ee136b416c,library,1.3902,22050.0,1
44c6bc42c1501b9f,library,1.3210,20500.0,1
4555d79fea2aff45,library,1.2588,21500.0,1
4566a74cc83d9a75,library,1.3049,21500.0,1
4588fef9a88e7486,library,1.2529,22050.0,1
46238bb793f4f768,library,1.2340,21750.0,1
4666e3ace9f50925,library,1.2611,21500.0,1
466f4a161d7f9190,library,1.2289,22050.0,1
47372736cf1ed2e8,library,1.3214,21000.0,1
48583ceacad9ceb7,library,1.2201,22050.0,1
4908223cf3ef1f79,library,1.2139,20250.0,1
4922d33dd2a27cb7,library,1.2500,22050.0,1
493a2f24fc7f012b,library,1.2564,20750.0,1
49e63fcf4b19ccbe,library,1.3210,22050.0,1
49f1851bfc6d6d84,library,1.2500,22050.0,1
4a17160bb6896d6b,library,1.3333,22050.0,1
4a1c4f8abb772780,library,1.3735,22050.0,1
4a5b43dcf872e2cd,library,1.2611,21750.0,1
4abe06703d06375b,library,1.2658,20250.0,1
